gene_name	gene_id	lsv_id	mean_dpsi_per_lsv_junction	probability_changing	probability_non_changing	CycloheximideControl_mean_psi	CycloheximideTDP43KD_mean_psi	lsv_type	num_junctions	num_exons	de_novo_junctions	seqid	strand	junctions_coords	exons_coords	ir_coords	ucsc_lsv_link
ACTL6B	ENSG00000077080.10	ENSG00000077080.10:t:100649961-100650135	-0.0761;-0.8812;0.9246;0.0000	2.655e-01;1.000e+00;1.000e+00;7.057e-21	1.709e-01;0.000e+00;3.267e-21;9.987e-01	0.1039;0.8955;0.0003;0.0003	0.0097;0.0422;0.9275;0.0205	t|1e1.1o1|1e2.1o1|1e3.1o1|i	4	4	1;0;1;1	chr7	-	100650135-100655421;100650135-100655019;100650135-100650575;100650136-100650574	100649961-100650135;100650575-100650663;100655019-100655119;100655421-100655586	100650136-100650574	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A100655586-100649961
DNAJC10	ENSG00000077232.19	ENSG00000077232.19:t:182740264-182740388	-0.1656;0.0056;0.1501;0.0000	9.261e-01;1.049e-02;8.256e-01;7.586e-21	5.012e-04;6.570e-01;1.041e-02;1.000e+00	0.2060;0.1528;0.6322;0.0005	0.0467;0.1615;0.7895;0.0006	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	4	5	0;0;0;0	chr2	+	182731107-182740299;182732542-182740299;182736386-182740299;182739709-182740299	182731030-182731107;182732483-182732737;182736249-182736386;182739545-182740206;182740264-182740388		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr2%3A182740388-182731030
PAK3	ENSG00000077264.16	ENSG00000077264.16:s:111096191-111096415	-0.0075;0.1173;-0.0434;-0.0144	2.532e-05;6.286e-01;1.228e-01;2.223e-03	8.103e-01;3.686e-02;3.092e-01;6.969e-01	0.0419;0.6531;0.2557;0.0487	0.0062;0.7785;0.1947;0.0196	s|1e1.1o1|1e2.1o1|1e3.2o2|1e4.1o1	4	5	0;0;1;1	chrX	+	111096415-111096543;111096415-111097390;111096415-111097575;111096415-111123077	111096191-111096415;111096543-111096737;111097387-111097456;111097541-111097684;111123076-111123278		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chrX%3A111123278-111096191
PAK3	ENSG00000077264.16	ENSG00000077264.16:s:111123076-111123278	0.1555;0.0000;-0.1645	8.095e-01;7.587e-21;8.540e-01	1.276e-02;9.999e-01;8.737e-03	0.4406;0.0051;0.5566	0.6069;0.0135;0.3801	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	1;1;0	chrX	+	111123278-111124251;111123278-111125300;111123278-111142096	111123076-111123278;111124251-na;111125300-na;111142096-111142196		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chrX%3A111142196-111123076
SPAG6	ENSG00000077327.16	ENSG00000077327.16:s:22401161-22401277	0.0931;-0.1381;0.0234	4.394e-01;6.708e-01;7.564e-02	8.145e-02;2.983e-02;4.124e-01	0.7049;0.2434;0.0464	0.8262;0.0872;0.0947	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	chr10	+	22401277-22411031;22401277-22416619;22401277-22448725	22401161-22401277;22411031-22411670;22416619-22417610;22448725-22448989		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr10%3A22448989-22401161
SPAG6	ENSG00000077327.16	ENSG00000077327.16:t:22416619-22417610	-0.1722;0.1702;0.0001	7.057e-01;6.994e-01;4.114e-05	1.863e-02;1.932e-02;9.921e-01	0.4004;0.5953;0.0047	0.1667;0.8282;0.0061	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	chr10	+	22401277-22416619;22411176-22416619;22412523-22416619	22401161-22401277;22411031-22411670;22412445-22412523;22416619-22417610		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr10%3A22417610-22401161
NAALAD2	ENSG00000077616.11	ENSG00000077616.11:s:90163535-90164350	0.1368;-0.1355;-0.0000	6.155e-01;6.112e-01;5.494e-07	3.561e-02;3.643e-02;9.993e-01	0.4809;0.5158;0.0036	0.6547;0.3432;0.0022	s|1e1.1o1|1e2.1o1|i	3	3	1;0;1	chr11	+	90163617-90168083;90163617-90168929;90164351-90168082	90163535-90164350;90168083-90168491;90168929-90169685	90164351-90168082	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr11%3A90169685-90163535
NAALAD2	ENSG00000077616.11	ENSG00000077616.11:s:90175972-90176062	0.1132;-0.1132	5.825e-01;5.825e-01	4.934e-02;4.934e-02	0.8327;0.1673	0.9632;0.0368	s|1e1.1o1|1e2.1o1	2	3	0;1	chr11	+	90176062-90177853;90176062-90181620	90175972-90176062;90177853-90178117;90181620-90181701		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr11%3A90181701-90175972
NAALAD2	ENSG00000077616.11	ENSG00000077616.11:t:90135559-90135670	0.1080;-0.0937;-0.0021	5.320e-01;4.558e-01;3.369e-04	6.032e-02;8.342e-02;9.318e-01	0.0077;0.9655;0.0256	0.1427;0.8542;0.0032	t|1e1.1o2|1e1.2o2|1e2.1o1	3	3	0;0;0	chr11	+	90134836-90135559;90134840-90135559;90135146-90135559	90134615-90134840;90135064-90135146;90135559-90135670		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr11%3A90135670-90134615
NAALAD2	ENSG00000077616.11	ENSG00000077616.11:t:90168929-90169685	-0.1055;0.1717;-0.0394;-0.0000	5.256e-01;7.842e-01;1.524e-01;6.320e-09	6.438e-02;1.521e-02;2.847e-01;9.999e-01	0.3678;0.4605;0.1729;0.0020	0.2371;0.6592;0.1099;0.0011	t|1e1.1o1|1e2.1o2|1e2.2o2|i	4	3	0;1;1;1	chr11	+	90163617-90168929;90168295-90168929;90168491-90168929;90168492-90168928	90163535-90164350;90168083-90168491;90168929-90169685	90168492-90168928	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr11%3A90169685-90163535
FGFR1	ENSG00000077782.22	ENSG00000077782.22:s:38457356-38457534	-0.0070;-0.0000;-0.2265;-0.0000;0.2475;0.0022	7.556e-03;4.026e-06;8.873e-01;4.026e-06;9.393e-01;5.545e-04	7.853e-01;9.986e-01;4.628e-03;9.986e-01;2.095e-03;9.275e-01	0.0319;0.0025;0.9074;0.0025;0.0439;0.0025	0.0018;0.0018;0.6654;0.0018;0.3107;0.0198	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o1	6	7	0;0;0;0;0;0	chr8	-	38443492-38457356;38440373-38457356;38429948-38457356;38429390-38457356;38428435-38457356;38421941-38457356	38421708-38422044;38428346-38428435;38429247-38429390;38429521-38430820;38440306-38440373;38443397-38443492;38457356-38457534		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr8%3A38457534-38421708
FGFR1	ENSG00000077782.22	ENSG00000077782.22:t:38428346-38428435	-0.0000;0.1619;-0.0876;-0.0391	2.068e-07;8.278e-01;4.300e-01;1.576e-01	9.997e-01;1.100e-02;8.922e-02;2.703e-01	0.0025;0.0341;0.8162;0.1488	0.0018;0.2068;0.7072;0.0819	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	4	5	0;0;0;0	chr8	-	38428435-38467672;38428435-38457356;38428435-38429682;38428435-38429247	38428346-38428435;38429247-38429390;38429521-38430820;38457356-38457534;38467672-38467900		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr8%3A38467900-38428346
MAP2	ENSG00000078018.21	ENSG00000078018.21:s:209696917-209697051	0.1014;-0.1319;0.0062	5.100e-01;7.175e-01;7.003e-04	5.936e-02;2.274e-02;7.676e-01	0.0069;0.9622;0.0294	0.1336;0.8259;0.0416	s|1e1.1o1|1e2.1o2|1e2.2o2	3	3	1;0;1	chr2	+	209697051-209697226;209697051-209700277;209697051-209700280	209696917-209697051;209697226-209697372;209700277-209700338		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr2%3A209700338-209696917
MAP2	ENSG00000078018.21	ENSG00000078018.21:s:209700277-209700338	0.0000;0.3180;-0.3179	7.586e-21;1.000e+00;1.000e+00	1.000e+00;1.238e-16;0.000e+00	0.0004;0.1934;0.8061	0.0004;0.5023;0.4973	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	chr2	+	209700338-209703987;209700338-209704450;209700338-209705580	209700277-209700338;209703987-209704034;209704450-209704620;209705382-209705727		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr2%3A209705727-209700277
MAP2	ENSG00000078018.21	ENSG00000078018.21:t:209692625-209693625	-0.1021;0.0027;0.0753;-0.0000	5.116e-01;5.860e-06;3.470e-01;7.586e-21	6.762e-02;9.198e-01;1.284e-01;1.000e+00	0.7508;0.0082;0.2383;0.0009	0.6361;0.0338;0.3361;0.0007	t|1e1.1o1|1e3.1o1|2e1.1o1|2e2.1o1	4	4	0;0;0;0	chr2	+	209680827-209692625;209690848-209692625;209680827-209692637;209684661-209692637	209680750-209680827;209684633-209684661;209690603-209690848;209692625-209693625		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr2%3A209693625-209680750
MAP2	ENSG00000078018.21	ENSG00000078018.21:t:209705382-209705727	-0.0000;-0.1973;0.1975	7.587e-21;9.865e-01;9.879e-01	1.000e+00;6.727e-05;9.586e-05	0.0162;0.7858;0.1970	0.0154;0.5941;0.3912	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	1;0;0	chr2	+	209680827-209705580;209700338-209705580;209704620-209705580	209680750-209680827;209700277-209700338;209704450-209704620;209705382-209705727		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr2%3A209705727-209680750
MLLT10	ENSG00000078403.17	ENSG00000078403.17:s:21732899-21733087	-0.1826;0.1826	9.648e-01;9.648e-01	5.852e-04;5.852e-04	0.8277;0.1723	0.6478;0.3522	s|1e1.1o1|1e2.1o1	2	3	0;1	chr10	+	21733087-21733504;21733087-21733768	21732899-21733087;21733504-21733592;21733768-21734129		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr10%3A21734129-21732899
MLLT10	ENSG00000078403.17	ENSG00000078403.17:t:21733768-21734129	0.1385;-0.1385	7.857e-01;7.857e-01	7.919e-03;7.919e-03	0.1620;0.8380	0.2976;0.7024	t|1e1.1o1|1e2.1o1	2	3	1;0	chr10	+	21733087-21733768;21733592-21733768	21732899-21733087;21733504-21733592;21733768-21734129		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr10%3A21734129-21732899
ZCWPW1	ENSG00000078487.18	ENSG00000078487.18:s:100425030-100425136	0.1778;-0.1778	8.112e-01;8.112e-01	1.040e-02;1.040e-02	0.7906;0.2094	0.9894;0.0106	s|1e1.1o1|1e2.1o1	2	3	0;1	chr7	-	100420678-100425030;100409544-100425030	100409428-100409545;100420622-100420678;100425030-100425136		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A100425136-100409428
ZCWPW1	ENSG00000078487.18	ENSG00000078487.18:t:100409428-100409545	-0.2438;0.2438	9.200e-01;9.200e-01	2.217e-03;2.217e-03	0.2825;0.7175	0.0101;0.9899	t|1e1.1o1|1e2.1o1	2	3	1;0	chr7	-	100409544-100425030;100409544-100415975	100409428-100409545;100415975-100416097;100425030-100425136		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A100425136-100409428
ADCYAP1R1	ENSG00000078549.15	ENSG00000078549.15:s:31085310-31085442	0.1037;-0.1037	5.167e-01;5.167e-01	5.812e-02;5.812e-02	0.0146;0.9854	0.1340;0.8660	s|1e1.1o2|1e1.2o2	2	2	1;0	chr7	+	31085442-31086273;31085442-31086384	31085310-31085442;31086273-31086537		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A31086537-31085310
ADCYAP1R1	ENSG00000078549.15	ENSG00000078549.15:s:31092644-31092735	-0.0029;0.0105;0.1542;0.0090;-0.2236;0.0023;0.0077	3.831e-03;7.712e-02;8.152e-01;1.437e-02;9.617e-01;5.340e-05;6.939e-04	6.444e-01;4.189e-01;1.244e-02;6.245e-01;1.003e-03;8.928e-01;8.038e-01	0.0523;0.2951;0.1123;0.0581;0.4496;0.0257;0.0077	0.0551;0.3078;0.2762;0.0714;0.2229;0.0328;0.0399	s|1e1.1o1|1e2.1o1|1e3.1o2|1e3.2o2|1e4.1o1|1e5.1o1|1e6.1o2	7	7	1;0;0;1;0;1;1	chr7	+	31092735-31093143;31092735-31095667;31092735-31100127;31092735-31100130;31092735-31103237;31092735-31104868;31092735-31106496	31092644-31092735;31093143-na;31095667-31095750;31100127-31100210;31103237-31103366;31104868-31104909;31106496-31111479		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A31111479-31092644
ADCYAP1R1	ENSG00000078549.15	ENSG00000078549.15:t:31103237-31103366	-0.1810;-0.1496;0.3605	8.512e-01;7.860e-01;9.998e-01	8.599e-03;1.462e-02;7.434e-07	0.5293;0.2611;0.2028	0.3246;0.1065;0.5653	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	chr7	+	31092735-31103237;31095750-31103237;31100210-31103237	31092644-31092735;31095667-31095750;31100127-31100210;31103237-31103366		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A31103366-31092644
PCM1	ENSG00000078674.18	ENSG00000078674.18:s:17934706-17934858	0.1986;-0.1986	9.187e-01;9.187e-01	3.191e-03;3.191e-03	0.0365;0.9635	0.2487;0.7513	s|1e1.1o1|1e2.1o1	2	3	1;0	chr8	+	17934858-17935134;17934858-17935589	17934706-17934858;17935134-17935317;17935589-17935706		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr8%3A17935706-17934706
PCM1	ENSG00000078674.18	ENSG00000078674.18:s:17980221-17980755	0.0000;0.3584;-0.3585	7.586e-21;1.000e+00;1.000e+00	1.000e+00;9.004e-12;9.031e-12	0.0008;0.2057;0.7936	0.0008;0.5596;0.4396	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	chr8	+	17980755-17982540;17980755-17983233;17980755-17985447	17980221-17980755;17982540-17982637;17983233-17983289;17985447-17985619		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr8%3A17985619-17980221
PCM1	ENSG00000078674.18	ENSG00000078674.18:t:17983233-17983289	-0.1865;0.2014;-0.0003	8.604e-01;8.945e-01;2.285e-06	7.733e-03;5.095e-03;9.909e-01	0.4803;0.5019;0.0133	0.2734;0.7255;0.0010	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	1;0;0	chr8	+	17972687-17983233;17980755-17983233;17982637-17983233	17972673-17972687;17980221-17980755;17982540-17982637;17983233-17983289		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr8%3A17983289-17972673
PCM1	ENSG00000078674.18	ENSG00000078674.18:t:17985447-17985619	-0.0544;-0.0790;0.1544	1.961e-01;3.328e-01;9.164e-01	2.279e-01;1.177e-01;3.219e-03	0.6054;0.2612;0.1334	0.5403;0.1740;0.2824	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	chr8	+	17972687-17985447;17980755-17985447;17983289-17985447	17972673-17972687;17980221-17980755;17983233-17983289;17985447-17985619		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr8%3A17985619-17972673
CBFA2T2	ENSG00000078699.22	ENSG00000078699.22:s:33490075-33490301	0.0845;0.0324;0.0308;0.0302;-0.2607	3.912e-01;5.146e-02;7.884e-02;3.607e-02;9.680e-01	1.072e-01;4.467e-01;3.935e-01;4.833e-01;8.617e-04	0.0490;0.0018;0.0481;0.0112;0.8879	0.1428;0.0708;0.0921;0.0679;0.6049	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1	5	6	1;1;1;0;0	chr20	+	33490301-33524600;33490301-33550641;33490301-33556620;33490301-33573974;33490301-33606956	33490075-33490301;33524600-33524673;33550641-33550764;33556620-33556738;33573974-33574261;33606956-33607099		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr20%3A33607099-33490075
CBFA2T2	ENSG00000078699.22	ENSG00000078699.22:t:33624764-33625017	0.1035;-0.1035	5.325e-01;5.325e-01	5.912e-02;5.912e-02	0.6050;0.3950	0.7190;0.2810	t|1e1.1o1|1e2.1o1	2	3	0;0	chr20	+	33623296-33624764;33623854-33624764	33623115-33623296;33623773-33623954;33624764-33625017		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr20%3A33625017-33623115
ITCH	ENSG00000078747.16	ENSG00000078747.16:t:34526268-34526343	0.0025;0.0564;0.0149;-0.0088;-0.1279;0.0111;0.0047	9.928e-06;2.267e-01;1.862e-04;1.692e-02;6.959e-01;3.333e-05;8.066e-05	8.782e-01;2.049e-01;6.976e-01;6.273e-01;2.651e-02;7.491e-01;7.900e-01	0.0304;0.3060;0.0200;0.1811;0.4092;0.0164;0.0309	0.0386;0.3898;0.0477;0.1611;0.2732;0.0490;0.0418	t|1e1.1o1|1e2.1o2|1e2.2o2|1e3.1o1|1e4.1o1|2e2.1o2|2e4.1o1	7	5	1;0;1;1;1;1;1	chr20	+	34504403-34526268;34507908-34526268;34510842-34526268;34515500-34526268;34519498-34526268;34507908-34526272;34519498-34526272	34504331-34504403;34507695-34511773;34515429-34515500;34519420-34519498;34526268-34526343		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr20%3A34526343-34504331
UBE2D4	ENSG00000078967.13	ENSG00000078967.13:t:43947159-43947229	0.1266;-0.0718;-0.0386	6.184e-01;3.205e-01;1.698e-01	4.161e-02;1.482e-01;2.635e-01	0.6612;0.1259;0.2102	0.8239;0.0318;0.1432	t|1e1.1o2|2e1.1o2|i	3	2	0;1;1	chr7	+	43943031-43947159;43943031-43947180;43945636-43947158	43942954-43943103;43947159-43947229	43945636-43947158	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A43947229-43942954
THOC1	ENSG00000079134.12	ENSG00000079134.12:t:226801-226901	-0.1118;0.1118	5.879e-01;5.879e-01	5.022e-02;5.022e-02	0.8138;0.1862	0.6910;0.3090	t|1e1.1o1|1e2.1o1	2	3	0;0	chr18	-	226901-246324;226901-244302	226801-226901;244302-245832;246068-246455		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr18%3A246455-226801
FKBP7	ENSG00000079150.18	ENSG00000079150.18:t:178469652-178469785	-0.0263;0.2630;-0.0511;-0.0383;0.0170;-0.1308	7.716e-02;9.945e-01;1.713e-01;4.626e-02;3.750e-02;7.213e-01	4.054e-01;8.744e-05;2.524e-01;4.350e-01;5.245e-01;2.333e-02	0.2504;0.2726;0.1219;0.0701;0.1020;0.1712	0.2110;0.5336;0.0592;0.0224;0.1323;0.0339	t|1e1.1o1|1e2.1o1|1e3.1o1|2e1.1o1|2e2.1o1|2e3.1o1	6	4	0;0;0;1;0;0	chr2	-	178469785-178478279;178469785-178477062;178469785-178473029;178469782-178478279;178469782-178477062;178469782-178473029	178469652-178469785;178473029-178473142;178477062-178477213;178478279-178478600		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr2%3A178478600-178469652
OSBPL6	ENSG00000079156.17	ENSG00000079156.17:s:178306030-178306286	-0.1228;0.1228	6.011e-01;6.011e-01	4.413e-02;4.413e-02	0.3568;0.6432	0.1965;0.8035	s|1e1.1o1|1e2.1o1	2	3	0;1	chr2	+	178306286-178324177;178306286-178328256	178306030-178306286;178324177-178324269;178328256-178328378		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr2%3A178328378-178306030
SAR1A	ENSG00000079332.15	ENSG00000079332.15:t:70162690-70163031	0.1057;0.0683;-0.2141	5.375e-01;3.299e-01;9.631e-01	6.516e-02;1.344e-01;1.039e-03	0.0597;0.6819;0.2556	0.1907;0.7729;0.0343	t|1e1.2o2|2e1.2o2|i	3	2	1;0;1	chr10	-	70162817-70170413;70162759-70170413;70163032-70166726	70162690-70163031;70170413-70170523	70163032-70166726	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr10%3A70170523-70162690
SENP1	ENSG00000079387.14	ENSG00000079387.14:s:48105402-48105834	0.1239;-0.1139;-0.0052	6.039e-01;5.475e-01;3.394e-02	4.227e-02;5.409e-02;5.406e-01	0.4119;0.4460;0.1338	0.5559;0.3158;0.1274	s|1e1.1o1|2e1.1o1|2e2.1o1	3	3	0;0;1	chr12	-	48101516-48105457;48101516-48105402;48098124-48105402	48097737-48098124;48101469-48101516;48105402-48105834		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A48105834-48097737
SENP1	ENSG00000079387.14	ENSG00000079387.14:t:48101469-48101516	0.0855;0.0312;-0.1406	4.144e-01;1.342e-01;7.286e-01	9.960e-02;3.096e-01;2.247e-02	0.3017;0.3347;0.3644	0.4037;0.3841;0.2087	t|1e1.1o1|1e2.1o2|1e2.2o2	3	3	0;0;0	chr12	-	48101516-48106028;48101516-48105457;48101516-48105402	48101469-48101516;48105402-48105834;48106028-48106079		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A48106079-48101469
LIPE	ENSG00000079435.10	ENSG00000079435.10:s:42407174-42407226	-0.2313;0.2313	9.317e-01;9.317e-01	2.253e-03;2.253e-03	0.8050;0.1950	0.5576;0.4424	s|1e1.1o1|1e2.1o1	2	3	0;0	chr19	-	42406388-42407174;42405561-42407174	42405385-42405837;42406161-42406388;42407174-42407226		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A42407226-42405385
LIPE	ENSG00000079435.10	ENSG00000079435.10:t:42405385-42405837	0.1177;-0.1177	5.551e-01;5.551e-01	4.948e-02;4.948e-02	0.2934;0.7066	0.4408;0.5592	t|1e1.1o1|1e2.1o1	2	3	0;0	chr19	-	42405561-42407174;42405561-42406161	42405385-42405837;42406161-42406388;42407174-42407226		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A42407226-42405385
RIMS1	ENSG00000079841.18	ENSG00000079841.18:s:71886703-71887187	-0.2250;0.2250	7.865e-01;7.865e-01	9.126e-03;9.126e-03	0.4261;0.5739	0.1725;0.8275	s|1e1.1o1|1e2.1o2	2	3	0;1	chr6	+	71887187-71968983;71887187-72096949	71886703-71887187;71968983-71969063;72096949-72097162		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr6%3A72097162-71886703
SLC35C2	ENSG00000080189.15	ENSG00000080189.15:s:46363900-46364361	-0.0335;0.1863;0.0363;-0.0100;-0.1295	9.302e-02;8.387e-01;1.222e-01;9.003e-02;5.771e-01	3.705e-01;1.053e-02;3.203e-01;3.849e-01;4.146e-02	0.0776;0.0366;0.0312;0.2154;0.6308	0.0134;0.2592;0.0997;0.1937;0.4460	s|1e2.1o3|2e2.1o3|3e1.1o1|3e2.3o3|i	5	3	0;1;1;1;1	chr20	-	46358958-46364040;46358958-46364015;46363222-46363900;46358763-46363900;46363223-46363899	46358691-46358958;46363086-46363222;46363900-46364361	46363223-46363899	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr20%3A46364361-46358691
EPHA6	ENSG00000080224.17	ENSG00000080224.17:s:96866825-96866889	0.0320;0.1781;-0.2285	1.159e-01;8.196e-01;8.788e-01	3.359e-01;1.062e-02;4.989e-03	0.0480;0.0355;0.9113	0.0900;0.2313;0.6623	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	1;1;0	chr3	+	96866889-96936014;96866889-96948656;96866889-96987330	96866825-96866889;96936014-na;96948656-na;96987330-96987993		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A96987993-96866825
RIF1	ENSG00000080345.18	ENSG00000080345.18:s:151409883-151409939	-0.1250;0.1250	5.697e-01;5.697e-01	4.327e-02;4.327e-02	0.8948;0.1052	0.7429;0.2571	s|1e1.1o1|1e2.1o1	2	3	0;1	chr2	+	151409939-151410414;151409939-151411260	151409883-151409939;151410090-151410527;151411260-151411338		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr2%3A151411338-151409883
RIF1	ENSG00000080345.18	ENSG00000080345.18:s:151441905-151441991	-0.1872;0.1872	8.991e-01;8.991e-01	4.780e-03;4.780e-03	0.4496;0.5504	0.2547;0.7453	s|1e1.1o1|2e1.1o1	2	2	1;0	chr2	+	151441967-151443259;151441991-151443259	151441905-151441991;151443259-151443329		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr2%3A151443329-151441905
SESN1	ENSG00000080546.13	ENSG00000080546.13:t:109002278-109002343	0.1156;-0.1159;0.0000	5.565e-01;5.579e-01;7.586e-21	5.099e-02;5.066e-02;1.000e+00	0.3683;0.6303;0.0014	0.5042;0.4941;0.0017	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	chr6	-	109002343-109093795;109002343-109009359;109002343-109008750	109002278-109002343;109008750-109008988;109009359-109009555;109093795-109094819		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr6%3A109094819-109002278
CLDND1	ENSG00000080822.17	ENSG00000080822.17:s:98522849-98523066	0.0000;0.1050;0.0016;-0.1049;-0.0039;0.0000;0.0000	7.617e-21;5.489e-01;1.883e-04;5.337e-01;1.780e-07;7.586e-21;7.586e-21	9.966e-01;4.543e-02;9.344e-01;5.485e-02;8.821e-01;1.000e+00;1.000e+00	0.0219;0.1748;0.0704;0.6829;0.0385;0.0016;0.0043	0.0271;0.2901;0.0815;0.5720;0.0297;0.0002;0.0012	s|1e1.1o3|1e1.2o3|1e1.3o3|1e2.1o4|1e2.2o4|1e2.4o4|1e3.2o2	7	4	0;0;0;0;0;1;0	chr3	-	98521718-98522849;98521703-98522849;98521696-98522849;98521442-98522849;98521437-98522849;98521351-98522849;98518995-98522849	98518735-98519014;98521330-98521442;98521653-98522514;98522849-98523066		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A98523066-98518735
CLDND1	ENSG00000080822.17	ENSG00000080822.17:t:98521330-98521442	-0.1354;0.0000;0.1248;-0.0010;0.0062;0.0000;0.0000	7.594e-01;7.586e-21;6.956e-01;2.646e-10;1.185e-09;7.586e-21;7.586e-21	1.501e-02;1.000e+00;2.325e-02;9.673e-01;8.376e-01;1.000e+00;1.000e+00	0.5901;0.0002;0.3519;0.0330;0.0220;0.0002;0.0013	0.4508;0.0001;0.4839;0.0233;0.0432;0.0001;0.0001	t|1e1.1o1|1e2.1o1|1e3.1o1|2e1.1o1|2e3.1o1|3e3.1o1|4e1.1o1	7	4	0;0;0;0;0;0;1	chr3	-	98521442-98522849;98521442-98522542;98521442-98521653;98521437-98522849;98521437-98521653;98521377-98521653;98521351-98522849	98521330-98521442;98521653-98522514;98522542-98522754;98522849-98523066		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr3%3A98523066-98521330
