"","x"
"877","chr16:89739289-89739478"
"878","chr16:89740099-89740804"
"879","chr10:7367291-7367331"
"880","chr2:37215518-37216113"
"881","chrX:149504293-149529367"
"882","chr1:149021153-149023121"
"883","chr1:149023183-149024445"
"884","chr16:72056243-72058254"
"885","chr1:120830495-120833683"
"886","chr1:120808292-120814577"
"887","chr20:63736712-63737533"
"888","chr20:63736712-63737533"
"889","chr1:149664646-149664844"
"890","chr1:149664982-149665082"
"891","chr1:149665133-149669189"
"892","chr3:40294924-40301237"
"893","chr8:94405692-94407439"
"894","chr19:9338017-9338494"
"895","chr3:195710490-195710626"
"896","chr3:195711267-195711344"
"897","chr9:133112152-133130952"
"898","chr9:133787973-133788354"
"899","chr1:42849413-42850950"
"900","chr3:41835971-41882204"
"901","chr2:241682333-241685769"
"902","chr15:42146241-42146596"
"903","chr16:30003526-30003650"
"904","chr11:64271088-64271241"
"905","chr11:66524276-66543704"
"906","chr2:95901206-95902886"
"907","chr2:95895672-95901289"
"908","chr2:95897342-95903053"
"909","chr2:95902360-95906107"
"910","chr2:95911483-95913352"
"911","chr2:95918042-95921607"
"912","chr8:143938692-143946350"
"913","chr8:143938692-143939350"
"914","chr19:52781464-52786595"
"915","chr19:52781055-52786595"
"916","chr19:52778907-52780581"
"917","chr9:128627498-128630321"
"918","chr9:128627498-128630321"
"919","chrY:1300626-1305446"
"920","chrY:1300626-1305446"
"921","chr3:108602907-108605335"
"922","chr17:45639520-45645901"
"923","chr17:15627865-15628874"
"924","chr1:177985062-177985860"
"925","chr1:149071260-149077541"
"926","chr1:149079221-149081965"
"927","chr1:149101384-149102729"
"928","chr1:149079221-149081965"
"929","chr7:128576877-128577103"
"930","chr7:128576607-128576833"
"931","chr12:94400981-94401459"
"932","chr1:46303820-46310155"
"933","chr1:46303820-46310155"
"934","chr14:35539690-35549110"
"935","chr14:35539690-35549110"
"936","chr3:141429663-141432152"
"937","chr16:28688828-28711657"
"938","chr7:23688323-23689269"
"939","chr12:101663560-101665057"
"940","chr6:44932763-44933230"
"941","chr6:44932763-44932968"
"942","chr3:9395579-9397424"
"943","chrX:155065789-155070694"
"944","chr1:16576330-16582608"
"945","chr1:16576330-16582608"
"946","chr2:242161304-242161364"
"947","chr9:2536453-2539148"
"948","chr6:31672490-31673238"
"949","chr11:9775765-9807848"
"950","chr17:5214210-5215146"
"951","chr7:102645479-102665662"
"952","chr8:124562992-124564744"
"953","chr5:139648845-139665580"
"954","chr5:107387771-107388488"
"955","chr16:21841011-21843386"
"956","chr16:21839310-21839940"
"957","chr9:96898127-96902917"
"958","chr2:97548025-97549910"
"959","chr2:97550528-97552396"
"960","chr1:244970443-244972509"
"961","chr1:245022296-245030655"
"962","chr6:57948966-57959028"
"963","chr2:3533848-3534113"
"964","chr9:99849988-99894880"
"965","chr5:21461866-21466619"
"966","chr18:48185455-48185934"
"967","chr12:76840483-76840965"
"968","chr7:134533081-134536650"
"969","chr14:49585303-49586630"
"970","chr19:12001822-12035554"
"971","chr2:180571831-180635239"
"972","chr10:96021568-96089266"
"973","chr1:43708027-43708108"
"974","chr22:42125578-42136199"
"975","chr17:413803-413924"
"976","chr11:119364530-119381462"
"977","chr16:18395424-18395886"
"978","chr16:18395424-18395886"
"979","chr12:93735733-93737699"
"980","chr16:87311296-87314971"
"981","chr16:70231132-70231327"
"982","chr5:155870424-156123856"
"983","chr1:9736042-9741094"
"984","chr10:93906385-93912667"
"985","chr11:800912-801002"
"986","chr8:141425985-141426939"
"987","chr10:52251468-52251570"
"988","chr19:9752440-9762082"
"989","chr22:35611106-35615574"
"990","chr14:100832641-100834632"
"991","chr15:30479193-30483119"
"992","chr15:30479193-30484502"
"993","chr3:37806185-37808704"
"994","chr2:117838351-117839975"
"995","chr8:144499196-144499438"
"996","chr9:127896332-127905207"
"997","chr16:83790315-83803435"
"998","chr16:83790204-83803435"
"999","chr1:153628237-153631011"
"1000","chr1:153627598-153631011"
"1001","chr10:59362383-59363068"
"1002","chr1:223988154-223992466"
"1003","chr2:24135187-24146748"
"1004","chr4:189881345-189881389"
"1005","chr5:38461313-38468239"
"1006","chr11:112089011-112193474"
"1007","chr14:85934861-86070863"
"1008","chr15:63599196-63600697"
"1009","chr10:102863108-102874028"
"1010","chr14:100476581-100483994"
"1011","chr2:218261216-218262059"
"1012","chr17:30997331-30997457"
"1013","chr17:30997662-30998662"
"1014","chr3:99840454-100074925"
"1015","chr22:31602785-31604309"
"1016","chr22:31602785-31604309"
"1017","chr1:173461360-173462324"
"1018","chr6:30009177-30009535"
"1019","chr6:30009177-30009535"
"1020","chr1:152335439-152338056"
"1021","chr12:67989579-67995941"
"1022","chr12:68019898-68026651"
"1023","chr12:67989579-67995941"
"1024","chr15:51921874-51922715"
"1025","chr15:51919146-51921783"
"1026","chr19:57820549-57853776"
"1027","chr19:57830564-57856104"
"1028","chr19:57830564-57856104"
"1029","chr17:10453785-10503099"
"1030","chr17:10466332-10547535"
"1031","chr19:472843-473044"
"1032","chr16:21889392-21890012"
"1033","chr20:59875469-59878008"
"1034","chr12:110634779-110635951"
"1035","chr2:65687577-65691782"
"1036","chr3:15719691-15738552"
"1037","chr14:23941158-23953574"
"1038","chr14:23941158-23953574"
"1039","chr15:25083675-25085473"
"1040","chr15:25000374-25019027"
"1041","chr15:25083675-25085473"
"1042","chr10:13648230-13654353"
"1043","chr19:10111740-10113633"
"1044","chr19:10111740-10113633"
"1045","chr16:15137923-15138385"
"1046","chr16:15137923-15138385"
"1047","chr9:34649564-34655218"
"1048","chr17:10443528-10444603"
"1049","chr17:10445363-10447012"
"1050","chr17:10447217-10447817"
"1051","chr17:10448784-10448863"
"1052","chr17:10449048-10450452"
"1053","chr17:10451453-10451940"
"1054","chr17:10452933-10453151"
"1055","chr17:10453886-10454554"
"1056","chr17:10455296-10455613"
"1057","chr17:10455902-10456484"
"1058","chr17:10456556-10457419"
"1059","chr17:10457730-10459250"
"1060","chr17:10464709-10465441"
"1061","chr17:10466417-10466541"
"1062","chr17:10466785-10469287"
"1063","chr19:24049548-24057931"
"1064","chr19:24063941-24065463"
"1065","chr6:123605593-123636754"
"1066","chr10:18539642-18542069"
"1067","chr10:18539642-18542069"
"1068","chr3:67746957-67750414"
"1069","chr3:195662733-195663624"
"1070","chr3:195710490-195710626"
"1071","chr3:195711267-195711344"
"1072","chr3:195720151-195721898"
"1073","chr10:124706887-124734836"
"1074","chr16:14010145-14013372"
"1075","chr7:102645479-102665662"
"1076","chr17:10503147-10529945"
"1077","chr17:10503164-10529832"
"1078","chr17:10503185-10529713"
"1079","chr17:10516682-10547475"
"1080","chr17:10392965-10445066"
"1081","chr17:10394368-10524586"
"1082","chr17:10399669-10526599"
"1083","chr17:10401346-10502810"
"1084","chr17:10445074-10495030"
"1085","chr17:10401346-10502810"
"1086","chr17:10466305-10516232"
"1087","chr17:10492475-10521340"
"1088","chr17:10394368-10524586"
"1089","chr17:10450520-10526667"
"1090","chr17:10501298-10528752"
"1091","chr17:10452304-10528982"
"1092","chr17:10401346-10529636"
"1093","chr17:10503216-10529991"
"1094","chr17:10466332-10547535"
"1095","chr21:8214652-8219372"
"1096","chr21:8214668-8218917"
"1097","chr21:8214677-8214782"
"1098","chr21:8215105-8216635"
"1099","chr21:8215105-8218747"
"1100","chr21:8216218-8216676"
"1101","chr21:8216449-8226545"
"1102","chr21:8216782-8216978"
"1103","chr21:8216832-8216897"
"1104","chr21:8216875-8217495"
"1105","chr21:8207708-8212926"
"1106","chr21:8208741-8214036"
"1107","chr21:8214171-8215106"
"1108","chr21:8214635-8215106"
"1109","chr21:8214942-8215106"
"1110","chr21:8208074-8215304"
"1111","chr21:8214712-8215343"
"1112","chr21:8214635-8215375"
"1113","chr21:8210309-8215399"
"1114","chr21:8215374-8215399"
"1115","chr21:8215105-8216635"
"1116","chr21:8216218-8216676"
"1117","chr21:8214993-8216919"
"1118","chr21:8216782-8216978"
"1119","chr21:8216635-8217009"
"1120","chr21:8214868-8217319"
"1121","chr21:8216866-8217319"
"1122","chr21:8217349-8219121"
"1123","chr21:8218628-8219136"
"1124","chr21:8384098-8405960"
"1125","chr21:8384319-8399609"
"1126","chr21:8384346-8393695"
"1127","chr21:8384370-8397335"
"1128","chr21:8390940-8399727"
"1129","chr21:8391002-8392891"
"1130","chr21:8392668-8397074"
"1131","chr21:8392913-8393927"
"1132","chr21:8393106-8393896"
"1133","chr21:8394404-8438433"
"1134","chr21:8394501-8438060"
"1135","chr21:8394511-8438608"
"1136","chr21:8395131-8401786"
"1137","chr21:8396582-8440266"
"1138","chr21:8397129-8441152"
"1139","chr21:8397209-8406209"
"1140","chr21:8397239-8426095"
"1141","chr21:8397327-8441359"
"1142","chr21:8397355-8398140"
"1143","chr21:8397368-8441359"
"1144","chr21:8397826-8426095"
"1145","chr21:8397884-8400884"
"1146","chr21:8397884-8441310"
"1147","chr21:8397902-8442147"
"1148","chr3:15636045-15641908"
"1149","chrX:50042462-50054440"
"1150","chr4:5639967-5640607"
"1151","chrX:54081460-54091312"
"1152","chrX:54081460-54091312"
"1153","chr12:123458216-123471092"
"1154","chr9:89455953-89479572"
"1155","chr19:36973358-36974420"
"1156","chr19:36973753-36974420"
"1157","chr10:46585778-46587504"
"1158","chr1:120441489-120442841"
"1159","chr1:120436500-120442854"
"1160","chr15:23309735-23310152"
"1161","chr17:38465183-38466167"
"1162","chr16:18351943-18352405"
"1163","chr16:18351943-18352405"
"1164","chr1:1739704-1745724"
"1165","chr21:28445280-28446290"
"1166","chr7:148714-149329"
"1167","chr19:58274853-58278523"
"1168","chr7:45774891-45788719"
"1169","chr7:45774891-45788719"
"1170","chr17:10453785-10503099"
"1171","chr17:10496330-10524763"
"1172","chr17:10503147-10529945"
"1173","chr17:10503164-10529832"
"1174","chr17:10503185-10529713"
"1175","chr17:10392965-10445066"
"1176","chr17:10394368-10524586"
"1177","chr17:10399669-10526599"
"1178","chr17:10401346-10502810"
"1179","chr17:10418919-10466306"
"1180","chr17:10445074-10495030"
"1181","chr17:10401346-10502810"
"1182","chr17:10492475-10521340"
"1183","chr17:10450520-10526667"
"1184","chr17:10501298-10528752"
"1185","chr17:10452304-10528982"
"1186","chr17:10401346-10529636"
"1187","chr17:10503216-10529991"
"1188","chr7:44030901-44033509"
"1189","chrX:3817605-3822547"
"1190","chr21:8398139-8398338"
"1191","chr21:8398199-8399068"
"1192","chr21:8398216-8438808"
"1193","chr21:8398253-8398409"
"1194","chr21:8398290-8427665"
"1195","chr21:8398337-8400508"
"1196","chr21:8398337-8418605"
"1197","chr21:8398408-8437385"
"1198","chr21:8398408-8442417"
"1199","chr21:8398523-8442722"
"1200","chr21:8398668-8399291"
"1201","chr21:8398693-8442935"
"1202","chr21:8398766-8401090"
"1203","chr21:8398861-8399710"
"1204","chr21:8398934-8443160"
"1205","chr21:8399432-8443488"
"1206","chr21:8399488-8399637"
"1207","chr21:8399564-8443734"
"1208","chr21:8399669-8399727"
"1209","chr21:8399718-8443543"
"1210","chr21:8399940-8402128"
"1211","chr21:8400043-8443789"
"1212","chr21:8400334-8437597"
"1213","chr21:8400521-8400774"
"1214","chr21:8400521-8444755"
"1215","chr21:8400541-8444743"
"1216","chr21:8400678-8444910"
"1217","chr21:8400759-8444993"
"1218","chr21:8400833-8400962"
"1219","chr21:8400838-8445072"
"1220","chr21:8401126-8445089"
"1221","chr21:8401137-8442567"
"1222","chr21:8401154-8401176"
"1223","chr21:8401266-8445513"
"1224","chr21:8401343-8445492"
"1225","chr21:8401447-8443091"
"1226","chr21:8401471-8445708"
"1227","chr21:8401527-8445743"
"1228","chr21:8401867-8446111"
"1229","chr21:8402145-8446357"
"1230","chr21:8402217-8445165"
"1231","chr21:8402282-8437947"
"1232","chr21:8402415-8446357"
"1233","chr21:8408031-8445572"
"1234","chr21:8409580-8441255"
"1235","chr21:8409587-8446347"
"1236","chr21:8411507-8415482"
"1237","chr21:8421859-8445104"
"1238","chr21:8421868-8437174"
"1239","chr21:8426450-8443117"
"1240","chr21:8426810-8442644"
"1241","chr21:8428172-8438466"
"1242","chr21:8432658-8445301"
"1243","chr21:8433158-8443734"
"1244","chr21:8434117-8441294"
"1245","chr21:8434487-8441807"
"1246","chr21:8435781-8440373"
"1247","chr21:8436667-8442501"
"1248","chr21:8437123-8438137"
"1249","chr21:8437565-8438226"
"1250","chr21:8437579-8442501"
"1251","chr21:8437579-8443758"
"1252","chr21:8439017-8443770"
"1253","chr21:8440033-8442567"
"1254","chr21:8440440-8443872"
"1255","chr21:8440969-8446406"
"1256","chr21:8441963-8442079"
"1257","chr21:8441992-8442014"
"1258","chr21:8442289-8445147"
"1259","chr21:8442368-8445087"
"1260","chr21:8442368-8446452"
"1261","chr21:8443328-8443432"
"1262","chr21:8443441-8446473"
"1263","chr21:8444092-8446357"
"1264","chr21:8444290-8444366"
"1265","chr21:8444718-8445301"
"1266","chr21:8445898-8446406"
"1267","chr21:8445912-8446500"
"1268","chr21:8405047-8442609"
"1269","chr21:8389028-8393622"
"1270","chr21:8381769-8393837"
"1271","chr21:8392913-8393927"
"1272","chr21:8389104-8394204"
"1273","chr21:8393066-8394239"
"1274","chr21:8388701-8394379"
"1275","chr21:8398139-8398338"
"1276","chr21:8388694-8398541"
"1277","chr21:8397417-8399068"
"1278","chr21:8398199-8399068"
"1279","chr21:8398994-8399068"
"1280","chr21:8399086-8399165"
"1281","chr21:8396709-8399332"
"1282","chr21:8395181-8399363"
"1283","chr21:8398408-8399372"
"1284","chr21:8393369-8399523"
"1285","chr21:8392429-8399533"
"1286","chr21:8395184-8399762"
"1287","chr21:8398337-8400508"
"1288","chr21:8389777-8400855"
"1289","chr21:8390266-8400864"
"1290","chr21:8392991-8400884"
"1291","chr21:8397884-8400884"
"1292","chr21:8396149-8400915"
"1293","chr21:8398059-8400915"
"1294","chr21:8401154-8401176"
"1295","chr21:8389072-8401327"
"1296","chr21:8395181-8401327"
"1297","chr21:8390582-8402177"
"1298","chr21:8395912-8402177"
"1299","chr21:8393174-8402223"
"1300","chr21:8400585-8402244"
"1301","chr21:8389666-8404085"
"1302","chr21:8397209-8406209"
"1303","chr21:8402371-8409179"
"1304","chr21:8397236-8409748"
"1305","chr21:8398337-8418605"
"1306","chr21:8401353-8433387"
"1307","chr21:8390007-8434199"
"1308","chr21:8391787-8435093"
"1309","chr21:8397417-8436822"
"1310","chr21:8392832-8436870"
"1311","chr21:8421868-8437174"
"1312","chr21:8397165-8437385"
"1313","chr21:8398408-8437385"
"1314","chr21:8393186-8437394"
"1315","chr21:8393485-8437695"
"1316","chr21:8393279-8437728"
"1317","chr21:8399718-8437735"
"1318","chr21:8394501-8438060"
"1319","chr21:8415435-8438142"
"1320","chr21:8395009-8438645"
"1321","chr21:8438136-8438645"
"1322","chr21:8394756-8438960"
"1323","chr21:8397415-8439016"
"1324","chr21:8398114-8440046"
"1325","chr21:8396156-8440177"
"1326","chr21:8396167-8440210"
"1327","chr21:8396260-8440373"
"1328","chr21:8435781-8440373"
"1329","chr21:8397129-8441152"
"1330","chr21:8431789-8441294"
"1331","chr21:8421859-8441390"
"1332","chr21:8397190-8441427"
"1333","chr21:8397314-8441536"
"1334","chr21:8397768-8441996"
"1335","chr21:8426322-8442064"
"1336","chr21:8434117-8442147"
"1337","chr21:8397943-8442170"
"1338","chr21:8402361-8442253"
"1339","chr21:8402332-8442363"
"1340","chr21:8398408-8442417"
"1341","chr21:8436667-8442501"
"1342","chr21:8437579-8442501"
"1343","chr21:8402371-8442898"
"1344","chr21:8398768-8442904"
"1345","chr21:8398693-8442935"
"1346","chr21:8399709-8443488"
"1347","chr21:8399718-8443543"
"1348","chr21:8399709-8443548"
"1349","chr21:8436191-8443690"
"1350","chr21:8421868-8443698"
"1351","chr21:8433158-8443734"
"1352","chr21:8433759-8443768"
"1353","chr21:8439017-8443770"
"1354","chr21:8434913-8443942"
"1355","chr21:8443487-8443945"
"1356","chr21:8400190-8444159"
"1357","chr21:8420146-8444188"
"1358","chr21:8444051-8444247"
"1359","chr21:8438384-8444278"
"1360","chr21:8400503-8444719"
"1361","chr21:8432562-8444826"
"1362","chr21:8436220-8444846"
"1363","chr21:8400678-8444910"
"1364","chr21:8400759-8444993"
"1365","chr21:8442368-8445087"
"1366","chr21:8422078-8445091"
"1367","chr21:8442289-8445147"
"1368","chr21:8401089-8445229"
"1369","chr21:8403519-8445301"
"1370","chr21:8444718-8445301"
"1371","chr21:8442368-8445330"
"1372","chr21:8401282-8445412"
"1373","chr21:8401343-8445492"
"1374","chr21:8401471-8445708"
"1375","chr21:8401954-8445973"
"1376","chr21:8446010-8446054"
"1377","chr21:8442368-8446452"
"1378","chr21:8414078-8454147"
