# SignalP-5.0	Organism: Eukarya	Timestamp: 20220628144707
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
ENST00000371026.8	OTHER	0.004608	0.995392	
ENST00000371408.7	OTHER	0.013123	0.986877	
ENST00000371608.8	OTHER	0.002805	0.997195	
ENST00000371761.4	OTHER	0.000669	0.999331	
ENST00000371945.10	OTHER	0.000884	0.999116	
ENST00000372007.10	OTHER	0.000444	0.999556	
ENST00000372010.5	OTHER	0.000444	0.999556	
ENST00000372324.6	OTHER	0.012096	0.987904	
ENST00000372479.7	OTHER	0.001335	0.998665	
ENST00000372487.5	OTHER	0.001335	0.998665	
ENST00000372502.5	OTHER	0.001635	0.998365	
ENST00000372503.2	OTHER	0.001635	0.998365	
ENST00000372506.5	OTHER	0.000693	0.999307	
ENST00000372507.5	OTHER	0.000693	0.999307	
ENST00000372508.7	OTHER	0.000693	0.999307	
ENST00000372923.8	OTHER	0.001077	0.998923	
ENST00000373084.8	OTHER	0.002131	0.997869	
ENST00000373095.6	OTHER	0.000814	0.999186	
ENST00000373191.9	OTHER	0.002103	0.997897	
ENST00000373382.5	OTHER	0.001741	0.998259	
ENST00000373394.8	OTHER	0.008590	0.991410	
ENST00000373701.7	OTHER	0.001254	0.998746	
ENST00000373719.8	OTHER	0.001123	0.998877	
ENST00000373820.5	OTHER	0.002184	0.997816	
ENST00000373827.6	OTHER	0.001778	0.998222	
ENST00000373886.8	OTHER	0.000664	0.999336	
ENST00000374000.8	OTHER	0.001182	0.998818	
ENST00000374006.1	OTHER	0.003094	0.996906	
ENST00000374007.5	OTHER	0.004375	0.995625	
ENST00000374012.8	OTHER	0.001182	0.998818	
ENST00000374051.7	SP(Sec/SPI)	0.854773	0.145227	CS pos: 37-38. AST-QA. Pr: 0.4518
ENST00000374124.4	OTHER	0.001468	0.998532	
ENST00000374126.10	OTHER	0.001468	0.998532	
ENST00000374133.3	OTHER	0.001978	0.998022	
ENST00000374135.9	OTHER	0.001709	0.998291	
ENST00000374145.6	OTHER	0.343777	0.656223	
ENST00000374227.8	OTHER	0.001682	0.998318	
ENST00000374244.3	OTHER	0.001324	0.998676	
ENST00000374433.7	OTHER	0.003958	0.996042	
ENST00000374705.5	OTHER	0.024785	0.975215	
ENST00000374768.1	OTHER	0.000726	0.999274	
ENST00000374776.6	OTHER	0.002562	0.997438	
ENST00000374790.8	OTHER	0.002562	0.997438	
ENST00000374807.9	OTHER	0.003088	0.996912	
ENST00000374811.8	OTHER	0.003088	0.996912	
ENST00000375000.5	OTHER	0.002671	0.997329	
ENST00000375003.6	OTHER	0.000197	0.999803	
ENST00000375110.6	OTHER	0.001112	0.998888	
ENST00000375180.7	OTHER	0.000898	0.999102	
ENST00000375245.8	OTHER	0.000655	0.999345	
ENST00000375250.9	OTHER	0.000655	0.999345	
ENST00000375341.8	OTHER	0.002224	0.997776	
ENST00000375353.5	OTHER	0.030562	0.969438	
ENST00000375430.8	OTHER	0.000729	0.999271	
ENST00000375431.9	OTHER	0.000729	0.999271	
ENST00000375512.3	OTHER	0.000266	0.999734	
ENST00000375687.10	OTHER	0.000772	0.999228	
ENST00000375734.6	OTHER	0.000811	0.999189	
ENST00000375751.8	OTHER	0.000433	0.999567	
ENST00000375754.9	OTHER	0.000433	0.999567	
ENST00000375793.2	OTHER	0.000715	0.999285	
ENST00000375799.8	OTHER	0.000715	0.999285	
ENST00000376463.3	OTHER	0.000723	0.999277	
ENST00000376499.8	OTHER	0.001931	0.998069	
ENST00000376547.7	OTHER	0.001041	0.998959	
ENST00000376568.8	SP(Sec/SPI)	0.985353	0.014647	CS pos: 20-21. GDA-DM. Pr: 0.7897
ENST00000376570.8	SP(Sec/SPI)	0.985353	0.014647	CS pos: 20-21. GDA-DM. Pr: 0.7897
ENST00000376663.8	OTHER	0.047699	0.952301	
ENST00000376896.8	OTHER	0.003134	0.996866	
ENST00000377059.7	OTHER	0.008696	0.991304	
ENST00000377072.8	OTHER	0.008696	0.991304	
ENST00000377091.7	OTHER	0.008696	0.991304	
ENST00000377093.9	OTHER	0.001555	0.998445	
ENST00000377100.8	OTHER	0.008696	0.991304	
ENST00000377184.7	OTHER	0.000460	0.999540	
ENST00000377400.8	OTHER	0.005491	0.994509	
ENST00000377770.8	OTHER	0.000762	0.999238	
ENST00000377883.7	OTHER	0.021077	0.978923	
ENST00000378123.4	SP(Sec/SPI)	0.948396	0.051604	CS pos: 29-30. GSG-QL. Pr: 0.4783
ENST00000378302.7	OTHER	0.028414	0.971586	
ENST00000378493.6	OTHER	0.000423	0.999577	
ENST00000378560.8	OTHER	0.018112	0.981888	
ENST00000378694.1	OTHER	0.000191	0.999809	
ENST00000378714.8	OTHER	0.000191	0.999809	
ENST00000378727.8	OTHER	0.000529	0.999471	
ENST00000378748.7	OTHER	0.000515	0.999485	
ENST00000378752.7	OTHER	0.000515	0.999485	
ENST00000378757.6	OTHER	0.000515	0.999485	
ENST00000378764.6	OTHER	0.000515	0.999485	
ENST00000378941.4	OTHER	0.001462	0.998538	
ENST00000378945.7	OTHER	0.001462	0.998538	
ENST00000378946.7	OTHER	0.001462	0.998538	
ENST00000378979.8	OTHER	0.001150	0.998850	
ENST00000378980.8	SP(Sec/SPI)	0.938031	0.061969	CS pos: 22-23. VYA-QR. Pr: 0.7616
ENST00000379046.6	OTHER	0.004750	0.995250	
ENST00000379047.7	OTHER	0.004750	0.995250	
ENST00000379096.9	OTHER	0.000135	0.999865	
ENST00000379097.7	OTHER	0.000559	0.999441	
ENST00000379119.6	OTHER	0.001783	0.998217	
ENST00000379162.9	OTHER	0.000722	0.999278	
ENST00000379164.8	SP(Sec/SPI)	0.998468	0.001532	CS pos: 20-21. SEG-RP. Pr: 0.9734
ENST00000379170.9	OTHER	0.002984	0.997016	
ENST00000379599.6	SP(Sec/SPI)	0.503156	0.496844	CS pos: 26-27. FCG-SP. Pr: 0.1437
ENST00000379600.8	SP(Sec/SPI)	0.503156	0.496844	CS pos: 26-27. FCG-SP. Pr: 0.1437
ENST00000379643.10	OTHER	0.002086	0.997914	
ENST00000379651.7	OTHER	0.002086	0.997914	
ENST00000379803.5	OTHER	0.001513	0.998487	
ENST00000379862.6	OTHER	0.000158	0.999842	
ENST00000379864.6	OTHER	0.000158	0.999842	
ENST00000380148.6	OTHER	0.011222	0.988778	
ENST00000380154.9	SP(Sec/SPI)	0.767510	0.232490	CS pos: 25-26. RRG-IP. Pr: 0.2172
ENST00000380158.8	OTHER	0.000460	0.999540	
ENST00000380615.8	OTHER	0.001141	0.998859	
ENST00000380617.7	OTHER	0.001141	0.998859	
ENST00000380639.10	OTHER	0.156789	0.843211	
ENST00000380715.5	OTHER	0.001108	0.998892	
ENST00000380716.8	OTHER	0.001108	0.998892	
ENST00000380733.9	OTHER	0.001108	0.998892	
ENST00000380738.8	OTHER	0.001108	0.998892	
ENST00000380877.8	OTHER	0.001118	0.998882	
ENST00000380986.9	OTHER	0.001340	0.998660	
ENST00000380991.8	OTHER	0.001281	0.998719	
ENST00000381006.8	OTHER	0.000629	0.999371	
ENST00000381125.9	OTHER	0.001439	0.998561	
ENST00000381317.9	OTHER	0.001286	0.998714	
ENST00000381333.9	OTHER	0.001286	0.998714	
ENST00000381340.8	OTHER	0.014797	0.985203	
ENST00000381348.4	OTHER	0.033533	0.966467	
ENST00000381396.9	OTHER	0.000191	0.999809	
ENST00000381844.8	OTHER	0.000457	0.999543	
ENST00000382072.6	OTHER	0.004507	0.995493	
ENST00000382085.7	OTHER	0.004507	0.995493	
ENST00000382389.5	OTHER	0.010021	0.989979	
ENST00000382393.2	OTHER	0.005491	0.994509	
ENST00000382447.8	OTHER	0.005491	0.994509	
ENST00000382543.4	OTHER	0.000459	0.999541	
ENST00000382554.4	OTHER	0.000902	0.999098	
ENST00000382713.10	OTHER	0.000177	0.999823	
ENST00000382871.3	OTHER	0.002668	0.997332	
ENST00000382911.8	OTHER	0.010505	0.989495	
ENST00000383366.9	OTHER	0.000775	0.999225	
ENST00000383699.8	SP(Sec/SPI)	0.781457	0.218543	CS pos: 23-24. AAA-SK. Pr: 0.4562
ENST00000383829.7	OTHER	0.001539	0.998461	
ENST00000383836.8	OTHER	0.000168	0.999832	
ENST00000388740.4	OTHER	0.006119	0.993881	
ENST00000388741.7	OTHER	0.005599	0.994401	
ENST00000388742.8	OTHER	0.001456	0.998544	
ENST00000388743.6	OTHER	0.001456	0.998544	
ENST00000388768.6	OTHER	0.002074	0.997926	
ENST00000389118.8	OTHER	0.002707	0.997293	
ENST00000389201.7	SP(Sec/SPI)	0.952013	0.047987	CS pos: 37-38. GAG-GG. Pr: 0.4214
ENST00000389286.9	SP(Sec/SPI)	0.974854	0.025146	CS pos: 35-36. VWC-FS. Pr: 0.9247
ENST00000389335.7	SP(Sec/SPI)	0.640905	0.359095	CS pos: 34-35. ARG-QE. Pr: 0.3030
ENST00000389336.8	SP(Sec/SPI)	0.640905	0.359095	CS pos: 34-35. ARG-QE. Pr: 0.3030
ENST00000389378.6	OTHER	0.000187	0.999813	
ENST00000389413.7	SP(Sec/SPI)	0.999317	0.000683	CS pos: 21-22. VLP-AA. Pr: 0.6280
ENST00000389416.8	SP(Sec/SPI)	0.998343	0.001657	CS pos: 21-22. VLP-AA. Pr: 0.6204
ENST00000389418.9	SP(Sec/SPI)	0.999317	0.000683	CS pos: 21-22. VLP-AA. Pr: 0.6280
ENST00000389506.10	OTHER	0.005024	0.994976	
ENST00000389964.7	OTHER	0.003371	0.996629	
ENST00000391947.6	OTHER	0.000904	0.999096	
ENST00000392121.7	SP(Sec/SPI)	0.857122	0.142878	CS pos: 37-38. VSA-LE. Pr: 0.8196
ENST00000392142.9	OTHER	0.070759	0.929241	
ENST00000392202.7	OTHER	0.000871	0.999129	
ENST00000392477.7	OTHER	0.000200	0.999800	
ENST00000392533.8	OTHER	0.000564	0.999436	
ENST00000392549.7	OTHER	0.001565	0.998435	
ENST00000392844.8	OTHER	0.000240	0.999760	
ENST00000392863.6	OTHER	0.000284	0.999716	
ENST00000393040.7	OTHER	0.000704	0.999296	
ENST00000393130.7	SP(Sec/SPI)	0.968768	0.031232	CS pos: 26-27. ALA-FA. Pr: 0.4690
ENST00000393252.3	OTHER	0.003365	0.996635	
ENST00000393256.8	OTHER	0.003365	0.996635	
ENST00000393301.5	SP(Sec/SPI)	0.998806	0.001194	CS pos: 24-25. VRC-DT. Pr: 0.5697
ENST00000393315.5	OTHER	0.000353	0.999647	
ENST00000393340.7	OTHER	0.071783	0.928217	
ENST00000393456.7	OTHER	0.000308	0.999692	
ENST00000393587.4	OTHER	0.356984	0.643016	
ENST00000393603.7	OTHER	0.013958	0.986042	
ENST00000393606.7	OTHER	0.001138	0.998862	
ENST00000393612.8	OTHER	0.000459	0.999541	
ENST00000393815.6	OTHER	0.001873	0.998127	
ENST00000393883.6	OTHER	0.000932	0.999068	
ENST00000393929.5	OTHER	0.000935	0.999065	
ENST00000394009.5	OTHER	0.000255	0.999745	
ENST00000394156.7	SP(Sec/SPI)	0.953537	0.046463	CS pos: 22-23. SHA-FA. Pr: 0.7221
ENST00000394175.6	OTHER	0.001423	0.998577	
ENST00000394179.5	OTHER	0.001423	0.998577	
ENST00000394206.5	OTHER	0.003966	0.996034	
ENST00000394221.3	OTHER	0.319616	0.680384	
ENST00000394537.7	OTHER	0.001043	0.998957	
ENST00000394610.7	OTHER	0.001140	0.998860	
ENST00000394785.9	OTHER	0.000640	0.999360	
ENST00000394817.7	SP(Sec/SPI)	0.615433	0.384567	CS pos: 31-32. CLS-HQ. Pr: 0.3636
ENST00000394833.6	SP(Sec/SPI)	0.919990	0.080010	CS pos: 22-23. GVA-EG. Pr: 0.5164
ENST00000394846.7	OTHER	0.000553	0.999447	
ENST00000394931.1	OTHER	0.011141	0.988859	
ENST00000394950.7	OTHER	0.005283	0.994717	
ENST00000394957.8	SP(Sec/SPI)	0.987847	0.012153	CS pos: 32-33. VAA-FK. Pr: 0.9109
ENST00000395002.6	OTHER	0.000546	0.999454	
ENST00000395029.5	OTHER	0.001175	0.998825	
ENST00000395098.5	OTHER	0.001741	0.998259	
ENST00000395105.9	OTHER	0.001920	0.998080	
ENST00000395336.7	OTHER	0.005639	0.994361	
ENST00000395344.7	OTHER	0.005639	0.994361	
ENST00000395375.3	OTHER	0.001882	0.998118	
ENST00000395418.8	OTHER	0.000278	0.999722	
ENST00000395479.10	OTHER	0.000353	0.999647	
ENST00000395703.8	OTHER	0.000884	0.999116	
ENST00000395704.8	OTHER	0.000884	0.999116	
ENST00000395706.2	OTHER	0.000646	0.999354	
ENST00000395718.6	OTHER	0.000468	0.999532	
ENST00000395749.7	OTHER	0.000438	0.999562	
ENST00000395797.1	OTHER	0.003958	0.996042	
ENST00000395824.5	OTHER	0.001100	0.998900	
ENST00000395825.4	OTHER	0.001100	0.998900	
ENST00000396033.6	SP(Sec/SPI)	0.995612	0.004388	CS pos: 20-21. VFA-QT. Pr: 0.8259
ENST00000396085.6	OTHER	0.002119	0.997881	
ENST00000396087.7	OTHER	0.002119	0.997881	
ENST00000396144.8	OTHER	0.000655	0.999345	
ENST00000396148.2	OTHER	0.000669	0.999331	
ENST00000396158.6	OTHER	0.000200	0.999800	
ENST00000396204.2	OTHER	0.002157	0.997843	
ENST00000396212.6	OTHER	0.000191	0.999809	
ENST00000396257.6	OTHER	0.092690	0.907310	
ENST00000396259.5	OTHER	0.092690	0.907310	
ENST00000396265.4	OTHER	0.140612	0.859388	
ENST00000396425.7	OTHER	0.001065	0.998935	
ENST00000396426.7	OTHER	0.001065	0.998935	
ENST00000396464.7	OTHER	0.001118	0.998882	
ENST00000397034.3	SP(Sec/SPI)	0.989178	0.010822	CS pos: 29-30. SQG-SE. Pr: 0.6853
ENST00000397070.6	SP(Sec/SPI)	0.914439	0.085561	CS pos: 18-19. AIC-KD. Pr: 0.7202
ENST00000397097.4	OTHER	0.065526	0.934474	
ENST00000397359.7	SP(Sec/SPI)	0.727671	0.272329	CS pos: 19-20. CMG-RL. Pr: 0.2738
ENST00000397517.6	OTHER	0.000230	0.999770	
ENST00000397518.5	OTHER	0.001255	0.998745	
ENST00000397519.6	OTHER	0.001108	0.998892	
ENST00000397523.5	OTHER	0.001474	0.998526	
ENST00000397525.5	OTHER	0.001474	0.998526	
ENST00000397789.3	OTHER	0.000501	0.999499	
ENST00000397828.3	OTHER	0.002103	0.997897	
ENST00000397844.6	OTHER	0.001595	0.998405	
ENST00000397853.7	OTHER	0.000573	0.999427	
ENST00000398117.1	OTHER	0.001032	0.998968	
ENST00000398208.3	OTHER	0.015292	0.984708	
ENST00000398341.7	OTHER	0.017910	0.982090	
ENST00000398343.2	OTHER	0.021046	0.978954	
ENST00000398514.7	OTHER	0.001021	0.998979	
ENST00000398664.4	OTHER	0.011222	0.988778	
ENST00000398675.8	SP(Sec/SPI)	0.681963	0.318037	CS pos: 22-23. LYA-FS. Pr: 0.2811
ENST00000399200.7	OTHER	0.000861	0.999139	
ENST00000399277.6	OTHER	0.003376	0.996624	
ENST00000399537.8	OTHER	0.005104	0.994896	
ENST00000399804.5	OTHER	0.000328	0.999672	
ENST00000400053.8	OTHER	0.005413	0.994587	
ENST00000400060.8	OTHER	0.001664	0.998336	
ENST00000400334.7	OTHER	0.140522	0.859478	
ENST00000400358.9	OTHER	0.000625	0.999375	
ENST00000401041.6	OTHER	0.002269	0.997731	
ENST00000401399.5	SP(Sec/SPI)	0.994683	0.005317	CS pos: 24-25. GGA-IE. Pr: 0.8700
ENST00000401507.7	OTHER	0.000467	0.999533	
ENST00000401576.1	OTHER	0.014863	0.985137	
ENST00000402050.7	OTHER	0.005020	0.994980	
ENST00000402096.5	OTHER	0.028266	0.971734	
ENST00000402192.6	OTHER	0.005639	0.994361	
ENST00000402314.6	OTHER	0.001518	0.998482	
ENST00000402752.5	OTHER	0.000387	0.999613	
ENST00000402799.5	OTHER	0.005639	0.994361	
ENST00000403080.5	SP(Sec/SPI)	0.994683	0.005317	CS pos: 24-25. GGA-IE. Pr: 0.8700
ENST00000403733.8	OTHER	0.002427	0.997573	
ENST00000403829.7	OTHER	0.002274	0.997726	
ENST00000404321.3	OTHER	0.000911	0.999089	
ENST00000404914.8	OTHER	0.000756	0.999244	
ENST00000404924.5	OTHER	0.001124	0.998876	
ENST00000405094.2	OTHER	0.000094	0.999906	
ENST00000405309.7	OTHER	0.001123	0.998877	
ENST00000405546.7	OTHER	0.000756	0.999244	
ENST00000405573.2	OTHER	0.001752	0.998248	
ENST00000405592.5	OTHER	0.000405	0.999595	
ENST00000405615.2	SP(Sec/SPI)	0.903974	0.096026	CS pos: 16-17. AAA-SK. Pr: 0.6198
ENST00000405786.3	OTHER	0.001827	0.998173	
ENST00000405953.5	OTHER	0.002880	0.997120	
ENST00000406029.5	OTHER	0.000463	0.999537	
ENST00000406285.7	OTHER	0.000465	0.999535	
ENST00000406326.5	OTHER	0.000762	0.999238	
ENST00000406482.5	OTHER	0.005639	0.994361	
ENST00000406818.8	OTHER	0.000982	0.999018	
ENST00000406911.5	OTHER	0.000094	0.999906	
ENST00000407038.7	OTHER	0.000982	0.999018	
ENST00000407186.5	OTHER	0.000982	0.999018	
ENST00000407270.7	OTHER	0.000094	0.999906	
ENST00000407528.6	SP(Sec/SPI)	0.952721	0.047279	CS pos: 24-25. SQG-QF. Pr: 0.9217
ENST00000407627.7	OTHER	0.000862	0.999138	
ENST00000407661.7	OTHER	0.000982	0.999018	
ENST00000407818.8	OTHER	0.000467	0.999533	
ENST00000407859.7	OTHER	0.005639	0.994361	
ENST00000407967.7	OTHER	0.001565	0.998435	
ENST00000408900.7	OTHER	0.000589	0.999411	
ENST00000408927.8	OTHER	0.000589	0.999411	
ENST00000408954.8	OTHER	0.000183	0.999817	
ENST00000409019.5	OTHER	0.000094	0.999906	
ENST00000409127.1	OTHER	0.001059	0.998941	
ENST00000409155.8	OTHER	0.010147	0.989853	
ENST00000409231.7	OTHER	0.009980	0.990020	
ENST00000409297.1	OTHER	0.000445	0.999555	
ENST00000409363.5	SP(Sec/SPI)	0.986755	0.013245	CS pos: 23-24. MHS-DC. Pr: 0.4257
ENST00000409400.1	OTHER	0.000704	0.999296	
ENST00000409420.1	OTHER	0.002619	0.997381	
ENST00000409459.5	OTHER	0.000933	0.999067	
ENST00000409483.5	SP(Sec/SPI)	0.999529	0.000471	CS pos: 21-22. VLP-AA. Pr: 0.6254
ENST00000409489.5	SP(Sec/SPI)	0.986755	0.013245	CS pos: 23-24. MHS-DC. Pr: 0.4257
ENST00000409557.5	OTHER	0.003724	0.996276	
ENST00000409559.7	OTHER	0.002301	0.997699	
ENST00000409566.1	OTHER	0.000815	0.999185	
ENST00000409672.5	OTHER	0.001116	0.998884	
ENST00000409862.1	OTHER	0.002301	0.997699	
ENST00000410104.1	OTHER	0.000828	0.999172	
ENST00000411419.6	OTHER	0.000368	0.999632	
ENST00000411767.7	OTHER	0.001091	0.998909	
ENST00000411892.5	OTHER	0.000387	0.999613	
ENST00000412094.6	OTHER	0.000531	0.999469	
ENST00000412653.5	OTHER	0.367801	0.632199	
ENST00000412947.6	OTHER	0.000551	0.999449	
ENST00000413034.3	OTHER	0.009980	0.990020	
ENST00000413081.1	OTHER	0.000367	0.999633	
ENST00000413209.6	OTHER	0.000501	0.999499	
ENST00000413280.5	OTHER	0.000424	0.999576	
ENST00000413374.1	OTHER	0.118552	0.881448	
ENST00000413427.6	OTHER	0.000484	0.999516	
ENST00000413543.6	OTHER	0.001147	0.998853	
ENST00000413658.6	OTHER	0.000315	0.999685	
ENST00000413761.7	OTHER	0.149626	0.850374	
ENST00000413795.5	SP(Sec/SPI)	0.656951	0.343049	CS pos: 31-32. SQG-TT. Pr: 0.5209
ENST00000414084.1	OTHER	0.001601	0.998399	
ENST00000414487.7	OTHER	0.000154	0.999846	
ENST00000414606.1	OTHER	0.000855	0.999145	
ENST00000414712.2	OTHER	0.005693	0.994307	
ENST00000414993.1	OTHER	0.002671	0.997329	
ENST00000415228.5	OTHER	0.003935	0.996065	
ENST00000415954.6	OTHER	0.003935	0.996065	
ENST00000416596.5	OTHER	0.002572	0.997428	
ENST00000416649.6	OTHER	0.002060	0.997940	
ENST00000416820.5	OTHER	0.047699	0.952301	
ENST00000416992.6	OTHER	0.000428	0.999572	
ENST00000417122.7	SP(Sec/SPI)	0.995612	0.004388	CS pos: 20-21. VFA-QT. Pr: 0.8259
ENST00000417345.2	SP(Sec/SPI)	0.938031	0.061969	CS pos: 22-23. VYA-QR. Pr: 0.7616
ENST00000417349.5	OTHER	0.000294	0.999706	
ENST00000417362.7	OTHER	0.000457	0.999543	
ENST00000417477.2	OTHER	0.000491	0.999509	
ENST00000417478.6	OTHER	0.002659	0.997341	
ENST00000417494.5	OTHER	0.000200	0.999800	
ENST00000417584.6	OTHER	0.002305	0.997695	
ENST00000417710.5	OTHER	0.002671	0.997329	
ENST00000418026.1	OTHER	0.002572	0.997428	
ENST00000418038.5	OTHER	0.001354	0.998646	
ENST00000418063.3	OTHER	0.000364	0.999636	
ENST00000418198.5	OTHER	0.009980	0.990020	
ENST00000418319.5	OTHER	0.001931	0.998069	
ENST00000418577.1	OTHER	0.003264	0.996736	
ENST00000418705.2	OTHER	0.001165	0.998835	
ENST00000419091.7	OTHER	0.001014	0.998986	
ENST00000419131.6	OTHER	0.001456	0.998544	
ENST00000419198.6	OTHER	0.004105	0.995895	
ENST00000419235.7	OTHER	0.000639	0.999361	
ENST00000419676.5	OTHER	0.000902	0.999098	
ENST00000419686.2	OTHER	0.047191	0.952809	
ENST00000419821.6	OTHER	0.000564	0.999436	
ENST00000419948.5	OTHER	0.000928	0.999072	
ENST00000420217.1	OTHER	0.009980	0.990020	
ENST00000420450.6	OTHER	0.000727	0.999273	
ENST00000420658.6	OTHER	0.000459	0.999541	
ENST00000420781.5	OTHER	0.000416	0.999584	
ENST00000420927.5	OTHER	0.000855	0.999145	
ENST00000421797.6	OTHER	0.000428	0.999572	
ENST00000421834.6	OTHER	0.000394	0.999606	
ENST00000422039.1	OTHER	0.000432	0.999568	
ENST00000422495.5	OTHER	0.000871	0.999129	
ENST00000422581.6	OTHER	0.047191	0.952809	
ENST00000422689.3	OTHER	0.001050	0.998950	
ENST00000422987.3	SP(Sec/SPI)	0.995719	0.004281	CS pos: 22-23. VQA-VD. Pr: 0.9629
ENST00000423014.3	OTHER	0.000863	0.999137	
ENST00000423097.5	OTHER	0.001474	0.998526	
ENST00000423169.6	OTHER	0.000739	0.999261	
ENST00000423196.1	OTHER	0.000836	0.999164	
ENST00000423339.2	OTHER	0.000935	0.999065	
ENST00000423484.3	OTHER	0.000582	0.999418	
ENST00000423607.6	OTHER	0.001004	0.998996	
ENST00000423760.6	OTHER	0.004515	0.995485	
ENST00000423994.6	SP(Sec/SPI)	0.863692	0.136308	CS pos: 61-62. ASA-YS. Pr: 0.7187
ENST00000424032.6	OTHER	0.001050	0.998950	
ENST00000424201.7	SP(Sec/SPI)	0.863692	0.136308	CS pos: 61-62. ASA-YS. Pr: 0.7187
ENST00000424479.7	OTHER	0.047191	0.952809	
ENST00000424536.2	OTHER	0.001100	0.998900	
ENST00000424564.2	SP(Sec/SPI)	0.937186	0.062814	CS pos: 21-22. VLA-TA. Pr: 0.4632
ENST00000424658.5	OTHER	0.000718	0.999282	
ENST00000424697.5	OTHER	0.000315	0.999685	
ENST00000424732.5	OTHER	0.000296	0.999704	
ENST00000424848.3	OTHER	0.000466	0.999534	
ENST00000424970.7	SP(Sec/SPI)	0.919990	0.080010	CS pos: 22-23. GVA-EG. Pr: 0.5164
ENST00000425075.6	OTHER	0.000764	0.999236	
ENST00000425146.5	OTHER	0.000444	0.999556	
ENST00000425346.6	OTHER	0.003264	0.996736	
ENST00000425417.2	OTHER	0.001010	0.998990	
ENST00000425427.6	OTHER	0.496493	0.503507	
ENST00000425452.1	OTHER	0.000699	0.999301	
ENST00000425453.3	OTHER	0.001574	0.998426	
ENST00000425647.1	OTHER	0.000956	0.999044	
ENST00000425809.5	OTHER	0.000882	0.999118	
ENST00000425853.5	OTHER	0.000945	0.999055	
ENST00000426052.6	OTHER	0.001184	0.998816	
ENST00000426156.1	OTHER	0.002401	0.997599	
ENST00000426395.7	SP(Sec/SPI)	0.995586	0.004414	CS pos: 23-24. SLG-AE. Pr: 0.7004
ENST00000426751.7	OTHER	0.002586	0.997414	
ENST00000427178.1	OTHER	0.000850	0.999150	
ENST00000427190.6	OTHER	0.001462	0.998538	
ENST00000427191.6	OTHER	0.001091	0.998909	
ENST00000427197.2	OTHER	0.012771	0.987229	
ENST00000427431.5	OTHER	0.000626	0.999374	
ENST00000427802.2	SP(Sec/SPI)	0.998468	0.001532	CS pos: 20-21. SEG-RP. Pr: 0.9734
ENST00000427817.1	OTHER	0.000640	0.999360	
ENST00000428153.6	SP(Sec/SPI)	0.985353	0.014647	CS pos: 20-21. GDA-DM. Pr: 0.7897
ENST00000428662.6	OTHER	0.001297	0.998703	
ENST00000428830.6	OTHER	0.000817	0.999183	
ENST00000429168.1	OTHER	0.033395	0.966605	
ENST00000429193.5	OTHER	0.000444	0.999556	
ENST00000429662.6	OTHER	0.001118	0.998882	
ENST00000429770.5	SP(Sec/SPI)	0.863692	0.136308	CS pos: 61-62. ASA-YS. Pr: 0.7187
ENST00000429789.6	SP(Sec/SPI)	0.988650	0.011350	CS pos: 19-20. VHT-TL. Pr: 0.6160
ENST00000430081.5	OTHER	0.000992	0.999008	
ENST00000430336.1	OTHER	0.000211	0.999789	
ENST00000430969.6	OTHER	0.005104	0.994896	
ENST00000431125.1	OTHER	0.000198	0.999802	
ENST00000431379.5	OTHER	0.000855	0.999145	
ENST00000431642.1	OTHER	0.001219	0.998781	
ENST00000431781.2	OTHER	0.001710	0.998290	
ENST00000431842.6	OTHER	0.000305	0.999695	
ENST00000432245.6	OTHER	0.001920	0.998080	
ENST00000432278.5	OTHER	0.001079	0.998921	
ENST00000432493.5	OTHER	0.000945	0.999055	
ENST00000432718.1	OTHER	0.002224	0.997776	
ENST00000432729.5	OTHER	0.001601	0.998399	
ENST00000432999.6	OTHER	0.149626	0.850374	
ENST00000433307.2	OTHER	0.000429	0.999571	
ENST00000433372.5	OTHER	0.002727	0.997273	
ENST00000433449.5	OTHER	0.000919	0.999081	
ENST00000434361.5	OTHER	0.004524	0.995476	
ENST00000434463.7	OTHER	0.001326	0.998674	
ENST00000434555.7	OTHER	0.012096	0.987904	
ENST00000434744.5	OTHER	0.000432	0.999568	
ENST00000434785.5	OTHER	0.002572	0.997428	
ENST00000435265.5	OTHER	0.002113	0.997887	
ENST00000435416.1	OTHER	0.000608	0.999392	
ENST00000435475.5	OTHER	0.000582	0.999418	
ENST00000435689.5	OTHER	0.020146	0.979854	
ENST00000436027.9	OTHER	0.000618	0.999382	
ENST00000436088.6	OTHER	0.001138	0.998862	
ENST00000436108.6	SP(Sec/SPI)	0.988650	0.011350	CS pos: 19-20. VHT-TL. Pr: 0.6160
ENST00000436279.1	OTHER	0.005982	0.994018	
ENST00000436339.6	OTHER	0.000636	0.999364	
ENST00000436636.7	OTHER	0.000256	0.999744	
ENST00000436862.2	SP(Sec/SPI)	0.656951	0.343049	CS pos: 31-32. SQG-TT. Pr: 0.5209
ENST00000436978.5	OTHER	0.001091	0.998909	
ENST00000437198.7	OTHER	0.000488	0.999512	
ENST00000437425.7	OTHER	0.008436	0.991564	
ENST00000437575.5	OTHER	0.001087	0.998913	
ENST00000437715.1	OTHER	0.000613	0.999387	
ENST00000437989.6	OTHER	0.000765	0.999235	
ENST00000438015.7	OTHER	0.000817	0.999183	
ENST00000438376.6	OTHER	0.002198	0.997802	
ENST00000438495.6	OTHER	0.001835	0.998165	
ENST00000438630.5	OTHER	0.002259	0.997741	
