gene_name,gene_id,lsv_id,mean_dpsi_per_lsv_junction,probability_changing,probability_non_changing,ControlControl_mean_psi,ControlTDP43KD_mean_psi,lsv_type,num_junctions,num_exons,de_novo_junctions,seqid,strand,junctions_coords,exons_coords,ir_coords,ucsc_lsv_link
PTPRH,ENSG00000080031.10,ENSG00000080031.10:s:55205326-55205592,-0.1227;0.1227,5.692e-01;5.692e-01,4.675e-02;4.675e-02,0.5276;0.4724,0.3674;0.6326,s|1e2.2o2|2e1.1o1,2,3,1;0,chr19,-,55202222-55205493;55204048-55205326,55202056-55202322;55203782-55204048;55205326-55205592,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A55205592-55202056
PTPRH,ENSG00000080031.10,ENSG00000080031.10:s:55207126-55207270,-0.1027;0.1115;0.0000;-0.0009,4.591e-01;4.877e-01;1.969e-05;3.394e-04,6.412e-02;5.535e-02;9.951e-01;9.576e-01,0.3505;0.6373;0.0035;0.0161,0.2113;0.7788;0.0043;0.0043,s|1e1.1o2|1e1.2o2|2e1.1o2|2e1.2o2,4,2,0;0;0;0,chr19,-,55206976-55207166;55206955-55207166;55206976-55207126;55206955-55207126,55206689-55206976;55207126-55207270,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr19%3A55207270-55206689
SLC35C2,ENSG00000080189.15,ENSG00000080189.15:s:46363900-46364361,-0.0111;0.0118;-0.0028;0.1674;-0.1375,2.737e-02;9.474e-02;2.246e-03;7.246e-01;6.118e-01,5.945e-01;3.749e-01;8.598e-01;1.928e-02;3.462e-02,0.0441;0.1418;0.0210;0.2092;0.5760,0.0208;0.1663;0.0117;0.4137;0.3955,s|1e2.1o3|2e2.1o3|3e1.1o1|3e2.3o3|i,5,3,0;1;1;1;1,chr20,-,46358958-46364040;46358958-46364015;46363222-46363900;46358763-46363900;46363223-46363899,46358691-46358958;46363086-46363222;46363900-46364361,46363223-46363899,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr20%3A46364361-46358691
SMARCA2,ENSG00000080503.24,ENSG00000080503.24:t:2028987-2029247,0.0000;-0.0745;-0.0114;0.0001;0.0000;0.1163;0.0007;-0.0061;0.0250;0.0000;-0.0050;0.0000,3.316e-09;3.493e-01;3.062e-02;6.569e-07;3.316e-09;5.974e-01;6.171e-05;2.299e-03;1.995e-01;3.316e-09;5.020e-03;3.316e-09,1.000e+00;1.105e-01;5.492e-01;9.976e-01;1.000e+00;5.012e-02;9.706e-01;8.002e-01;2.246e-01;1.000e+00;8.120e-01;1.000e+00,0.0007;0.4150;0.0794;0.0007;0.0007;0.0617;0.0007;0.0383;0.3565;0.0007;0.0338;0.0007,0.0006;0.3325;0.0622;0.0082;0.0006;0.1991;0.0173;0.0006;0.3971;0.0006;0.0006;0.0006,t|1e1.1o1|1e2.1o1|1e3.1o2|1e3.2o2|1e4.1o1|1e5.1o1|1e6.1o2|1e6.2o2|1e7.1o1|1e8.1o1|1e9.1o1|1e10.1o1,12,11,0;0;0;0;0;0;0;0;0;0;0;0,chr9,+,1980386-2028987;2015404-2028987;2016143-2028987;2016213-2028987;2016424-2028987;2017207-2028987;2017497-2028987;2017502-2028987;2017799-2028987;2018039-2028987;2022117-2028987;2027775-2028987,1980290-1980386;2015186-2015404;2015971-2016213;2016370-2016424;2017087-2017207;2017412-2017502;2017586-2017799;2017990-2018039;2021945-2022117;2027720-2027775;2028987-2029247,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr9%3A2029247-1980290
PSEN1,ENSG00000080815.19,ENSG00000080815.19:s:73147943-73148106,-0.0000;0.1140;-0.0000;-0.0935,7.062e-21;6.227e-01;7.062e-21;4.790e-01,1.000e+00;4.262e-02;1.000e+00;7.882e-02,0.0086;0.5139;0.0132;0.4659,0.0004;0.6330;0.0021;0.3653,s|1e1.1o1|1e2.1o1|2e1.1o1|2e2.1o1,4,3,0;0;0;0,chr14,+,73148094-73160009;73148094-73170797;73148106-73160009;73148106-73170797,73147943-73148106;73160009-73160138;73170797-73171050,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr14%3A73171050-73147943
PSEN1,ENSG00000080815.19,ENSG00000080815.19:t:73170797-73171050,0.0985;-0.1058;0.0000;0.0000,5.203e-01;5.638e-01;7.062e-21;7.062e-21,6.650e-02;5.612e-02;1.000e+00;1.000e+00,0.5226;0.4735;0.0033;0.0004,0.6266;0.3606;0.0087;0.0020,t|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1,4,4,0;0;0;0,chr14,+,73148094-73170797;73148106-73170797;73160138-73170797;73169461-73170797,73147943-73148106;73160009-73160138;73167829-73169461;73170797-73171050,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr14%3A73171050-73147943
MOK,ENSG00000080823.23,ENSG00000080823.23:s:102251917-102251995,0.1458;-0.0268;-0.0720,7.284e-01;7.775e-02;3.272e-01,2.439e-02;4.114e-01;1.426e-01,0.8002;0.0668;0.1189,0.9853;0.0073;0.0073,s|1e1.1o1|1e2.1o2|1e2.2o2,3,3,0;0;0,chr14,-,102251804-102251917;102250990-102251917;102250987-102251917,102250812-102250990;102251743-102251804;102251917-102251995,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr14%3A102251995-102250812
CUL2,ENSG00000108094.16,ENSG00000108094.16:t:35071199-35071339,0.1211;-0.0710;-0.0315;0.0000;0.0000;0.0000,6.516e-01;2.894e-01;8.823e-02;7.062e-21;7.062e-21;7.062e-21,3.559e-02;1.608e-01;3.756e-01;1.000e+00;1.000e+00;1.000e+00,0.4538;0.2655;0.2807;0.0003;0.0003;0.0003,0.5802;0.1790;0.2357;0.0003;0.0003;0.0003,t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o2|1e5.2o2,6,6,0;0;0;0;0;0,chr10,-,35071339-35090430;35071339-35090179;35071339-35089896;35071339-35087755;35071339-35074192;35071339-35074079,35071199-35071339;35074079-35074330;35087755-35087876;35089896-35090035;35090179-35090364;35090430-35090642,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr10%3A35090642-35071199
ZMIZ1,ENSG00000108175.18,ENSG00000108175.18:t:79118915-79119024,0.1205;-0.1205,6.123e-01;6.123e-01,4.539e-02;4.539e-02,0.7147;0.2853,0.8623;0.1377,t|1e1.1o1|1e2.1o1,2,3,0;1,chr10,+,79069270-79118915;79110760-79118915,79068966-79069270;79110438-79110760;79118915-79119024,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr10%3A79119024-79068966
UBTF,ENSG00000108312.15,ENSG00000108312.15:s:44212819-44212939,0.2801;-0.2801,1.000e+00;1.000e+00,6.347e-20;0.000e+00,0.5123;0.4877,0.7827;0.2173,s|1e1.1o1|1e2.1o1,2,3,0;0,chr17,-,44212454-44212819;44212006-44212819,44211873-44212006;44212180-44212454;44212819-44212939,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A44212939-44211873
UBTF,ENSG00000108312.15,ENSG00000108312.15:t:44211873-44212006,-0.2970;0.2970,1.000e+00;1.000e+00,0.000e+00;2.807e-20,0.4844;0.5156,0.1893;0.8107,t|1e1.1o1|1e2.1o1,2,3,0;0,chr17,-,44212006-44212819;44212006-44212344,44211873-44212006;44212180-44212454;44212819-44212939,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A44212939-44211873
TUBD1,ENSG00000108423.15,ENSG00000108423.15:t:59866596-59866749,-0.0000;-0.0372;-0.1020;0.1718,2.858e-06;1.223e-01;4.809e-01;7.350e-01,9.985e-01;3.234e-01;6.902e-02;1.837e-02,0.0034;0.0853;0.3401;0.5617,0.0025;0.0166;0.1931;0.7756,t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1,4,5,0;0;0;0,chr17,-,59866749-59890831;59866749-59886083;59866749-59878103;59866749-59874539,59866596-59866749;59874539-59874703;59878103-59878762;59886083-59886230;59890831-59891041,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A59891041-59866596
RAI1,ENSG00000108557.19,ENSG00000108557.19:t:17724028-17724159,-0.1317;0.0526;0.0561,6.612e-01;1.341e-01;2.570e-01,3.531e-02;2.949e-01;1.864e-01,0.7105;0.0146;0.2693,0.5710;0.0902;0.3467,t|1e1.1o1|1e2.1o1|1e3.1o1,3,4,0;0;1,chr17,+,17681793-17724028;17683703-17724028;17686188-17724028,na-17686188;17681458-17681793;17683546-17685050;17724028-17724159,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A17724159-17681458
RAI1,ENSG00000108557.19,ENSG00000108557.19:t:17792933-17793564,-0.0501;-0.0604;0.1062,1.400e-01;1.648e-01;5.735e-01,2.857e-01;2.570e-01;1.907e-02,0.9018;0.0943;0.0037,0.8350;0.0336;0.1243,t|1e1.1o1|1e2.1o1|1e3.1o1,3,4,0;0;1,chr17,+,17724159-17792933;17782215-17792933;17792300-17792933,17724028-17724159;17782132-17782215;17792164-17792300;17792933-17793564,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A17793564-17724028
NAGLU,ENSG00000108784.10,ENSG00000108784.10:s:42536241-42536655,0.1170;-0.1170,5.724e-01;5.724e-01,5.365e-02;5.365e-02,0.7625;0.2375,0.9234;0.0766,s|1e1.1o1|1e2.1o1,2,3,0;0,chr17,+,42536655-42537398;42536655-42538339,42536241-42536655;42536938-42537545;42538339-42538485,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A42538485-42536241
NAGLU,ENSG00000108784.10,ENSG00000108784.10:t:42538339-42538485,-0.1188;0.1188,6.199e-01;6.199e-01,4.427e-02;4.427e-02,0.1703;0.8297,0.0452;0.9548,t|1e1.1o1|1e2.1o1,2,3,0;0,chr17,+,42536655-42538339;42537545-42538339,42536241-42536655;42536938-42537545;42538339-42538485,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A42538485-42536241
HDAC5,ENSG00000108840.16,ENSG00000108840.16:t:44110729-44111341,0.0000;0.0002;0.1173;0.0000;-0.1415,7.062e-21;1.565e-08;6.006e-01;7.062e-21;7.393e-01,1.000e+00;9.936e-01;4.772e-02;1.000e+00;2.253e-02,0.0006;0.0060;0.5278;0.0006;0.4632,0.0006;0.0203;0.6574;0.0067;0.3161,t|1e1.1o1|1e2.1o1|1e3.1o1|2e1.1o1|2e3.1o1,5,4,0;0;0;1;0,chr17,-,44110803-44123504;44110803-44123254;44110803-44117494;44110800-44123504;44110800-44117494,44110729-44111341;44117494-44117704;44123254-44123275;44123504-44123702,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A44123702-44110729
MPP2,ENSG00000108852.15,ENSG00000108852.15:s:43898227-43898380,-0.0002;0.3500;-0.3491;-0.0000;-0.0000,6.876e-06;9.998e-01;9.997e-01;7.062e-21;7.062e-21,9.735e-01;6.031e-07;1.722e-06;1.000e+00;1.000e+00,0.0172;0.1044;0.8730;0.0011;0.0011,0.0177;0.4508;0.5230;0.0009;0.0009,s|1e3.2o2|2e1.1o1|2e3.2o2|3e3.2o2|4e2.1o1,5,4,0;0;0;0;0,chr17,-,43883355-43898280;43884155-43898262;43883355-43898262;43883355-43898244;43883386-43898227,43883203-43883382;43883386-43883386;43884084-43884155;43898227-43898380,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A43898380-43883203
MPP2,ENSG00000108852.15,ENSG00000108852.15:t:43883203-43883382,-0.0000;-0.0001;-0.0003;-0.4659;-0.0000;0.4811,7.062e-21;2.324e-07;3.255e-06;1.000e+00;7.062e-21;1.000e+00,1.000e+00;9.964e-01;9.841e-01;2.410e-13;1.000e+00;8.572e-15,0.0009;0.0117;0.0171;0.8574;0.0009;0.1051,0.0006;0.0038;0.0144;0.4107;0.0006;0.5742,t|1e4.1o1|2e1.1o1|2e2.1o4|2e2.2o4|2e2.3o4|2e3.1o1,6,5,0;0;0;0;0;0,chr17,-,43883382-43883386;43883355-43904430;43883355-43898280;43883355-43898262;43883355-43898244;43883355-43884084,43883203-43883382;43883386-43883386;43884084-43884155;43898227-43898380;43904430-43904493,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A43904493-43883203
MPP2,ENSG00000108852.15,ENSG00000108852.15:t:43898227-43898380,-0.0000;-0.0000;0.1092;-0.0000;-0.1036,7.062e-21;7.062e-21;5.488e-01;7.062e-21;5.206e-01,1.000e+00;1.000e+00;5.890e-02;1.000e+00;6.657e-02,0.0008;0.0053;0.3992;0.0008;0.5929,0.0007;0.0007;0.5382;0.0007;0.4597,t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1,5,6,0;0;0;0;0,chr17,-,43898380-43909542;43898380-43907474;43898380-43904430;43898380-43901284;43898380-43900471,43898227-43898380;43900471-43900598;43901284-43901564;43904430-43904493;43907474-43907942;43909542-43909711,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A43909711-43898227
WSB1,ENSG00000109046.15,ENSG00000109046.15:s:27306782-27306882,0.1452;0.0000;-0.0000;-0.1395;-0.0001,8.178e-01;6.901e-21;6.901e-21;7.774e-01;3.926e-08,1.054e-02;1.000e+00;1.000e+00;1.638e-02;9.568e-01,0.2328;0.0004;0.0024;0.7330;0.0308,0.3794;0.0004;0.0004;0.5903;0.0287,s|1e1.1o3|1e1.2o3|1e1.3o3|1e2.1o1|i,5,3,0;1;1;0;0,chr17,+,27306882-27307744;27306882-27308585;27306882-27308604;27306882-27309100;27306883-27307743,27306782-27306882;27307744-27308847;27309100-27309272,27306883-27307743,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A27309272-27306782
CRACD,ENSG00000109265.15,ENSG00000109265.15:s:56272321-56272492,0.0000;0.1005;-0.1004;0.0000,7.062e-21;5.126e-01;5.080e-01;7.062e-21,1.000e+00;7.750e-02;8.163e-02;1.000e+00,0.0001;0.5927;0.4011;0.0047,0.0002;0.6973;0.2976;0.0047,s|1e1.1o1|1e2.1o1|1e3.1o2|1e3.2o2,4,4,0;0;1;1,chr4,+,56272492-56297840;56272492-56298214;56272492-56307535;56272492-56307541,56272321-56272492;56297840-56297996;56298214-56298349;56307535-56307699,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr4%3A56307699-56272321
CRACD,ENSG00000109265.15,ENSG00000109265.15:s:56298214-56298349,0.0000;0.1101;0.0020;-0.0000;-0.1314;0.0000,7.062e-21;6.137e-01;7.815e-21;7.062e-21;7.680e-01;7.062e-21,1.000e+00;5.528e-03;9.243e-01;1.000e+00;7.161e-04;1.000e+00,0.0001;0.0116;0.0166;0.0177;0.9437;0.0088,0.0077;0.1378;0.0363;0.0018;0.8062;0.0111,s|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1|1e4.1o2|1e4.2o2,6,5,1;0;1;1;0;1,chr4,+,56298349-56301207;56298349-56301226;56298349-56301498;56298349-56307241;56298349-56307535;56298349-56307541,56298214-56298349;56301207-56301247;56301498-56301718;56307241-56307436;56307535-56307699,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr4%3A56307699-56298214
MAPK10,ENSG00000109339.24,ENSG00000109339.24:s:86100479-86101434,0.0000;-0.1125;0.0003;0.0000;0.0005;0.0000;0.1144,7.062e-21;5.698e-01;4.938e-06;7.062e-21;2.097e-02;7.062e-21;6.015e-01,1.000e+00;5.612e-02;9.886e-01;1.000e+00;5.873e-01;1.000e+00;4.921e-02,0.0006;0.8253;0.0085;0.0006;0.1111;0.0006;0.0499,0.0009;0.6983;0.0129;0.0009;0.1123;0.0009;0.1832,s|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o1,7,7,0;0;0;0;0;0;0,chr4,-,86099285-86101052;86098595-86101052;86098448-86101052;86090437-86101052;86089277-86101052;86081118-86101052;86067955-86101052,86067773-86067955;86081006-86082344;86089206-86089549;86090305-86091470;86098421-86098448;86098524-86099285;86100479-86101434,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr4%3A86101434-86067773
MAPK10,ENSG00000109339.24,ENSG00000109339.24:t:86067773-86067955,0.0001;0.0699;-0.1041;0.0131;0.0000,1.072e-07;3.086e-01;5.426e-01;2.508e-02;7.062e-21,9.977e-01;1.558e-01;6.284e-02;5.662e-01;1.000e+00,0.0010;0.0602;0.8768;0.0602;0.0010,0.0110;0.1406;0.7578;0.0836;0.0010,t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1,5,6,0;0;0;0;0,chr4,-,86067955-86159298;86067955-86101052;86067955-86098524;86067955-86089206;86067955-86079499,86067773-86067955;86079499-86079619;86089206-86089549;86098524-86099285;86100479-86101434;86159050-86159334,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr4%3A86159334-86067773
GAB1,ENSG00000109458.8,ENSG00000109458.8:s:143440079-143440382,0.2209;-0.2209,9.016e-01;9.016e-01,4.746e-03;4.746e-03,0.4127;0.5873,0.6372;0.3628,s|1e1.1o1|1e2.1o1,2,3,0;0,chr4,+,143440382-143457680;143440382-143459385,143440079-143440382;143457680-143457769;143459385-143459478,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr4%3A143459478-143440079
GAB1,ENSG00000109458.8,ENSG00000109458.8:t:143459385-143459478,-0.1059;0.1059,5.333e-01;5.333e-01,6.361e-02;6.361e-02,0.5027;0.4973,0.3714;0.6286,t|1e1.1o1|1e2.1o1,2,3,0;0,chr4,+,143440382-143459385;143457769-143459385,143440079-143440382;143457680-143457769;143459385-143459478,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr4%3A143459478-143440079
KLHL2,ENSG00000109466.14,ENSG00000109466.14:s:165219934-165220059,0.0109;-0.1482;0.1091,1.732e-03;7.621e-01;5.618e-01,7.152e-01;2.050e-02;5.905e-02,0.0132;0.8339;0.1538,0.0502;0.6741;0.2822,s|1e1.1o1|1e2.1o1|1e3.1o1,3,4,0;0;0,chr4,+,165220059-165223938;165220059-165228807;165220059-165238778,165219934-165220059;165223938-165224057;165228807-165228913;165238776-165238899,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr4%3A165238899-165219934
RPL34,ENSG00000109475.17,ENSG00000109475.17:t:108621951-108622024,0.1104;-0.0950;0.0000;-0.0000;0.0000;0.0000,5.571e-01;4.835e-01;7.062e-21;7.062e-21;7.062e-21;7.062e-21,5.539e-02;8.620e-02;1.000e+00;1.000e+00;1.000e+00;1.000e+00,0.3813;0.5831;0.0100;0.0244;0.0035;0.0001,0.4896;0.4849;0.0080;0.0129;0.0036;0.0001,t|1e1.1o1|1e2.1o4|1e2.2o4|1e2.3o4|1e2.4o4|1e3.1o1,6,4,0;0;1;1;1;0,chr4,+,108620600-108621951;108620712-108621951;108620801-108621951;108620945-108621951;108621141-108621951;108621696-108621951,108620569-108620600;108620626-108621141;108621631-108621696;108621951-108622024,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr4%3A108622024-108620569
RAPGEF2,ENSG00000109756.9,ENSG00000109756.9:t:159352457-159352910,-0.0303;0.1165;-0.0588,1.114e-01;6.088e-01;2.592e-01,3.412e-01;4.619e-02;1.858e-01,0.3147;0.3377;0.3412,0.2672;0.4790;0.2524,t|1e1.1o1|1e2.1o2|1e2.2o2,3,3,0;0;0,chr4,+,159350289-159352685;159351133-159352685;159351181-159352685,159350137-159350289;159351059-159351181;159352457-159352910,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr4%3A159352910-159350137
FAM149A,ENSG00000109794.13,ENSG00000109794.13:s:186149173-186149283,-0.2864;0.1969;0.0524;0.0000,9.864e-01;8.729e-01;2.233e-01;7.167e-07,2.837e-04;6.852e-03;2.124e-01;9.981e-01,0.5845;0.3149;0.0923;0.0015,0.2836;0.5340;0.1626;0.0020,s|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1,4,4,0;0;0;0,chr4,+,186149283-186149566;186149283-186149593;186149283-186151903;186149283-186153645,186149173-186149283;186149566-186149704;186151903-186152045;186153645-186153770,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr4%3A186153770-186149173
FAM149A,ENSG00000109794.13,ENSG00000109794.13:s:186157565-186157719,0.1274;-0.1274,5.778e-01;5.778e-01,4.250e-02;4.250e-02,0.1805;0.8195,0.3422;0.6578,s|1e1.1o1|1e2.1o1,2,3,0;0,chr4,+,186157719-186157889;186157719-186162845,186157565-186157719;186157889-186158410;186162845-186162948,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr4%3A186162948-186157565
SIAE,ENSG00000110013.13,ENSG00000110013.13:t:124649619-124649796,-0.1455;0.2071;-0.0284,7.267e-01;9.431e-01;6.313e-02,2.399e-02;2.132e-03;4.286e-01,0.8672;0.0517;0.0694,0.7039;0.2818;0.0187,t|1e1.1o1|1e2.1o1|i,3,3,0;1;1,chr11,-,124649796-124654655;124649796-124651815;124649797-124654654,124649619-124649796;124651815-na;124654655-124654793,124649797-124654654,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr11%3A124654793-124649619
ANAPC15,ENSG00000110200.8,ENSG00000110200.8:t:72111157-72111286,0.0000;0.0010;0.1236;-0.1300,7.171e-21;2.113e-03;6.774e-01;7.422e-01,9.884e-01;7.471e-01;2.809e-02;2.005e-02,0.0275;0.1348;0.5621;0.2777,0.0292;0.1325;0.6914;0.1445,t|1e1.1o1|1e2.1o2|1e2.2o2|2e2.2o2,4,3,0;0;0;0,chr11,-,72111286-72112650;72111286-72111442;72111286-72111412;72111281-72111412,72111157-72111286;72111412-72111497;72112650-72112704,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr11%3A72112704-72111157
CEP164,ENSG00000110274.16,ENSG00000110274.16:t:117371080-117371466,-0.1060;0.1048;0.0000;0.0000,5.460e-01;5.367e-01;6.903e-21;6.901e-21,6.144e-02;6.424e-02;9.998e-01;1.000e+00,0.4846;0.5062;0.0074;0.0008,0.3532;0.6340;0.0081;0.0007,t|1e1.1o1|1e2.1o1|1e3.1o1|i,4,4,1;0;0;1,chr11,+,117362538-117371080;117363506-117371080;117364043-117371080;117364044-117371079,117362404-117362538;117363429-117363506;117363955-117364043;117371080-117371466,117364044-117371079,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr11%3A117371466-117362404
ACCS,ENSG00000110455.14,ENSG00000110455.14:t:44074612-44074681,-0.0729;0.1023;-0.0133,3.397e-01;4.778e-01;3.211e-02,1.239e-01;6.824e-02;5.642e-01,0.1845;0.7619;0.0554,0.0716;0.9119;0.0201,t|1e1.1o1|1e2.1o2|1e2.2o2,3,3,1;0;0,chr11,+,44071315-44074612;44073517-44074612;44073535-44074612,44071256-44071315;44073344-44073535;44074612-44074681,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr11%3A44074681-44071256
PTPMT1,ENSG00000110536.14,ENSG00000110536.14:t:47571471-47573461,0.1052;-0.1052,5.595e-01;5.595e-01,5.598e-02;5.598e-02,0.4781;0.5219,0.5914;0.4086,t|1e1.1o1|1e2.1o1,2,3,0;0,chr11,+,47565986-47571471;47569891-47571471,47565898-47565986;47569700-47569891;47571471-47573461,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr11%3A47573461-47565898
CARS1,ENSG00000110619.18,ENSG00000110619.18:s:3001962-3002174,0.1111;-0.0781;-0.0272,6.161e-01;3.406e-01;1.105e-03,4.082e-02;1.344e-01;5.611e-01,0.5073;0.3779;0.1142,0.6189;0.2929;0.0876,s|1e1.1o1|2e1.1o1|i,3,2,0;0;1,chr11,-,3001248-3001970;3001248-3001962;3001249-3001961,3000922-3001248;3001962-3002174,3001249-3001961,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr11%3A3002174-3000922
TSPAN11,ENSG00000110900.16,ENSG00000110900.16:s:30983064-30983150,0.6432;0.1608;-0.8268,1.000e+00;7.390e-01;1.000e+00,6.274e-09;2.201e-02;0.000e+00,0.1638;0.0035;0.8328,0.7834;0.2114;0.0054,s|1e1.1o2|1e1.2o2|1e2.1o1,3,3,1;1;0,chr12,+,30983150-30983310;30983150-30983328;30983150-30991856,30983064-30983150;30983310-30983419;30991856-30996602,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A30996602-30983064
SLC11A2,ENSG00000110911.17,ENSG00000110911.17:s:51026294-51026400,-0.1762;-0.0000;-0.0001;0.1484;-0.0000;0.0036,8.443e-01;7.062e-21;4.235e-07;7.471e-01;7.062e-21;3.292e-04,1.025e-02;1.000e+00;9.959e-01;2.211e-02;1.000e+00;8.738e-01,0.7078;0.0009;0.0126;0.2803;0.0009;0.0009,0.5136;0.0009;0.0054;0.4447;0.0009;0.0353,s|1e1.1o1|1e2.1o1|1e3.1o1|2e1.1o1|2e4.1o1|3e1.1o1,6,5,0;0;0;0;0;0,chr12,-,51010766-51026315;51008624-51026315;51005436-51026315;51010766-51026310;50994630-51026310;51010766-51026294,50994544-50995092;51005311-51005436;51008586-51008624;51010695-51010766;51026294-51026400,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A51026400-50994544
SLC11A2,ENSG00000110911.17,ENSG00000110911.17:t:51010695-51010766,-0.0000;-0.1833;0.1385;0.0031;0.0001;-0.0000;-0.0001,7.062e-21;8.606e-01;7.093e-01;2.140e-04;3.359e-07;7.062e-21;4.262e-05,1.000e+00;8.663e-03;2.795e-02;8.890e-01;9.966e-01;1.000e+00;9.341e-01,0.0008;0.7007;0.2754;0.0008;0.0008;0.0008;0.0237,0.0007;0.4982;0.4369;0.0343;0.0109;0.0007;0.0206,t|1e1.1o1|1e2.1o3|1e2.2o3|1e2.3o3|1e3.1o2|1e3.2o2|1e4.1o1,7,5,0;0;0;0;0;0;0,chr12,-,51010766-51028177;51010766-51026315;51010766-51026310;51010766-51026294;51010766-51025775;51010766-51025673;51010766-51024361,51010695-51010766;51024361-51024843;51025673-51026141;51026294-51026400;51028177-51028411,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A51028411-51010695
CAMKK2,ENSG00000110931.19,ENSG00000110931.19:s:121245140-121245240,0.4546;-0.4546,1.000e+00;1.000e+00,1.461e-11;1.455e-11,0.3297;0.6703,0.7809;0.2191,s|1e1.1o1|1e2.1o1,2,3,0;0,chr12,-,121244615-121245140;121240869-121245140,121240547-121240869;121244573-121244615;121245140-121245240,,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A121245240-121240547
CAMKK2,ENSG00000110931.19,ENSG00000110931.19:t:121240547-121240869,-0.4842;0.4660;0.0105,1.000e+00;1.000e+00;1.311e-02,7.689e-12;1.012e-10;6.097e-01,0.7707;0.1829;0.0455,0.3051;0.6387;0.0698,t|1e1.1o1|1e2.1o1|i,3,3,0;0;1,chr12,-,121240869-121245140;121240869-121244573;121240870-121243587,121240547-121240869;121244573-121244615;121245140-121245240,121240870-121243587,http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A121245240-121240547
